year,Jacie
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,5
1921,5
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,5
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,5
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
1956,5
1957,0
1958,0
1959,5
1960,6
1961,7
1962,7
1963,11
1964,8
1965,0
1966,6
1967,0
1968,0
1969,7
1970,6
1971,8
1972,13
1973,16
1974,16
1975,23
1976,15
1977,19
1978,17
1979,22
1980,15
1981,15
1982,27
1983,33
1984,31
1985,26
1986,17
1987,28
1988,40
1989,43
1990,42
1991,60
1992,72
1993,82
1994,62
1995,69
1996,84
1997,107
1998,126
1999,133
2000,136
2001,120
2002,155
2003,161
2004,164
2005,212
2006,191
2007,179
2008,154
2009,132
2010,154
2011,104
2012,86
