year,Julius (F),Julius (M)
1880,0.000000,0.000710
1881,0.000000,0.000669
1882,0.000000,0.000758
1883,0.000000,0.000738
1884,0.000000,0.000665
1885,0.000000,0.000623
1886,0.000000,0.000678
1887,0.000000,0.000663
1888,0.000017,0.000658
1889,0.000000,0.000550
1890,0.000000,0.000528
1891,0.000000,0.000541
1892,0.000000,0.000568
1893,0.000000,0.000600
1894,0.000000,0.000526
1895,0.000000,0.000470
1896,0.000000,0.000487
1897,0.000000,0.000458
1898,0.000000,0.000474
1899,0.000000,0.000475
1900,0.000000,0.000458
1901,0.000000,0.000486
1902,0.000000,0.000411
1903,0.000000,0.000454
1904,0.000000,0.000468
1905,0.000000,0.000448
1906,0.000000,0.000443
1907,0.000000,0.000496
1908,0.000000,0.000538
1909,0.000000,0.000526
1910,0.000000,0.000593
1911,0.000000,0.000571
1912,0.000008,0.000767
1913,0.000000,0.000734
1914,0.000004,0.000741
1915,0.000004,0.000743
1916,0.000005,0.000700
1917,0.000003,0.000690
1918,0.000003,0.000652
1919,0.000003,0.000624
1920,0.000002,0.000582
1921,0.000004,0.000568
1922,0.000004,0.000558
1923,0.000003,0.000516
1924,0.000000,0.000477
1925,0.000003,0.000465
1926,0.000006,0.000449
1927,0.000005,0.000395
1928,0.000003,0.000382
1929,0.000005,0.000384
1930,0.000003,0.000365
1931,0.000004,0.000336
1932,0.000003,0.000337
1933,0.000003,0.000277
1934,0.000002,0.000279
1935,0.000004,0.000268
1936,0.000000,0.000264
1937,0.000002,0.000265
1938,0.000000,0.000251
1939,0.000000,0.000241
1940,0.000000,0.000246
1941,0.000003,0.000226
1942,0.000002,0.000204
1943,0.000002,0.000216
1944,0.000004,0.000201
1945,0.000000,0.000182
1946,0.000002,0.000170
1947,0.000000,0.000168
1948,0.000000,0.000158
1949,0.000001,0.000159
1950,0.000001,0.000144
1951,0.000000,0.000138
1952,0.000002,0.000127
1953,0.000002,0.000144
1954,0.000002,0.000148
1955,0.000002,0.000151
1956,0.000001,0.000123
1957,0.000001,0.000141
1958,0.000000,0.000120
1959,0.000000,0.000122
1960,0.000000,0.000122
1961,0.000001,0.000103
1962,0.000001,0.000106
1963,0.000002,0.000119
1964,0.000002,0.000107
1965,0.000000,0.000116
1966,0.000000,0.000114
1967,0.000000,0.000106
1968,0.000000,0.000107
1969,0.000000,0.000107
1970,0.000000,0.000099
1971,0.000002,0.000107
1972,0.000000,0.000105
1973,0.000000,0.000114
1974,0.000002,0.000111
1975,0.000000,0.000107
1976,0.000002,0.000115
1977,0.000002,0.000140
1978,0.000003,0.000140
1979,0.000002,0.000141
1980,0.000000,0.000149
1981,0.000001,0.000148
1982,0.000002,0.000153
1983,0.000003,0.000167
1984,0.000003,0.000144
1985,0.000002,0.000137
1986,0.000003,0.000127
1987,0.000001,0.000140
1988,0.000002,0.000136
1989,0.000002,0.000142
1990,0.000001,0.000145
1991,0.000000,0.000131
1992,0.000000,0.000126
1993,0.000001,0.000111
1994,0.000000,0.000105
1995,0.000000,0.000112
1996,0.000000,0.000111
1997,0.000000,0.000122
1998,0.000000,0.000122
1999,0.000000,0.000117
2000,0.000000,0.000128
2001,0.000000,0.000162
2002,0.000000,0.000168
2003,0.000000,0.000179
2004,0.000000,0.000187
2005,0.000000,0.000219
2006,0.000000,0.000252
2007,0.000000,0.000281
2008,0.000000,0.000279
2009,0.000000,0.000267
2010,0.000000,0.000253
2011,0.000000,0.000242
2012,0.000000,0.000261
2013,0.000000,0.000253
2014,0.000000,0.000305
2015,0.000000,0.000310
2016,0.000000,0.000280
2017,0.000000,0.000281
2018,0.000000,0.000279
2019,0.000000,0.000273
2020,0.000000,0.000290
