year,Joseph (F),Joseph (M)
1880,0.000050,0.013063
1881,0.000052,0.012746
1882,0.000027,0.012052
1883,0.000078,0.011593
1884,0.000037,0.011119
1885,0.000058,0.010546
1886,0.000031,0.010160
1887,0.000053,0.009928
1888,0.000060,0.009994
1889,0.000024,0.009445
1890,0.000036,0.008859
1891,0.000038,0.008972
1892,0.000039,0.009163
1893,0.000080,0.009215
1894,0.000050,0.008790
1895,0.000066,0.008524
1896,0.000067,0.008535
1897,0.000058,0.008148
1898,0.000060,0.008313
1899,0.000056,0.007897
1900,0.000031,0.008248
1901,0.000040,0.007999
1902,0.000021,0.008011
1903,0.000034,0.008187
1904,0.000045,0.008156
1905,0.000052,0.007789
1906,0.000049,0.008232
1907,0.000026,0.008260
1908,0.000043,0.008517
1909,0.000059,0.008505
1910,0.000049,0.008850
1911,0.000043,0.010070
1912,0.000045,0.012208
1913,0.000033,0.012726
1914,0.000049,0.013294
1915,0.000038,0.012579
1916,0.000040,0.012346
1917,0.000047,0.012339
1918,0.000041,0.012096
1919,0.000042,0.011498
1920,0.000049,0.011310
1921,0.000051,0.011215
1922,0.000045,0.011226
1923,0.000046,0.011102
1924,0.000057,0.010674
1925,0.000057,0.010550
1926,0.000070,0.010349
1927,0.000072,0.010133
1928,0.000080,0.009870
1929,0.000073,0.009655
1930,0.000063,0.009437
1931,0.000053,0.009185
1932,0.000049,0.008795
1933,0.000050,0.008583
1934,0.000042,0.008237
1935,0.000036,0.008221
1936,0.000034,0.008402
1937,0.000029,0.008130
1938,0.000034,0.008017
1939,0.000027,0.008042
1940,0.000028,0.007908
1941,0.000027,0.008128
1942,0.000029,0.008209
1943,0.000023,0.008089
1944,0.000030,0.007871
1945,0.000022,0.007848
1946,0.000019,0.007600
1947,0.000019,0.007638
1948,0.000020,0.007765
1949,0.000016,0.007577
1950,0.000018,0.007713
1951,0.000014,0.007643
1952,0.000018,0.007507
1953,0.000016,0.007595
1954,0.000019,0.007844
1955,0.000021,0.007869
1956,0.000020,0.007940
1957,0.000022,0.007573
1958,0.000020,0.007285
1959,0.000022,0.007104
1960,0.000029,0.007160
1961,0.000027,0.007112
1962,0.000026,0.007455
1963,0.000035,0.007601
1964,0.000030,0.007861
1965,0.000033,0.007901
1966,0.000029,0.007765
1967,0.000036,0.007638
1968,0.000040,0.007518
1969,0.000044,0.007534
1970,0.000038,0.007411
1971,0.000043,0.007144
1972,0.000041,0.007147
1973,0.000044,0.007070
1974,0.000041,0.007182
1975,0.000044,0.007330
1976,0.000047,0.007931
1977,0.000055,0.008341
1978,0.000057,0.008402
1979,0.000063,0.008615
1980,0.000063,0.008767
1981,0.000054,0.008895
1982,0.000056,0.008851
1983,0.000061,0.008797
1984,0.000060,0.008747
1985,0.000064,0.008467
1986,0.000058,0.008108
1987,0.000060,0.007912
1988,0.000049,0.007852
1989,0.000036,0.007772
1990,0.000021,0.007624
1991,0.000023,0.007660
1992,0.000018,0.007265
1993,0.000018,0.007165
1994,0.000021,0.006922
1995,0.000017,0.006922
1996,0.000014,0.006788
1997,0.000012,0.006509
1998,0.000014,0.006304
1999,0.000012,0.006285
2000,0.000006,0.006043
2001,0.000007,0.005883
2002,0.000009,0.005860
2003,0.000008,0.005623
2004,0.000027,0.005272
2005,0.000009,0.005002
2006,0.000007,0.004666
2007,0.000007,0.004340
2008,0.000008,0.004221
2009,0.000005,0.003911
2010,0.000004,0.003748
2011,0.000006,0.003551
2012,0.000004,0.003441
2013,0.000005,0.003366
2014,0.000002,0.003277
2015,0.000003,0.003114
2016,0.000004,0.002987
2017,0.000005,0.002930
2018,0.000004,0.002748
2019,0.000005,0.002634
2020,0.000003,0.002526
