year,Joellyn
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,11
1935,7
1936,9
1937,0
1938,9
1939,5
1940,10
1941,10
1942,12
1943,19
1944,13
1945,12
1946,24
1947,23
1948,17
1949,25
1950,22
1951,20
1952,23
1953,23
1954,20
1955,30
1956,25
1957,24
1958,22
1959,20
1960,25
1961,23
1962,21
1963,28
1964,19
1965,19
1966,21
1967,21
1968,22
1969,14
1970,18
1971,20
1972,16
1973,18
1974,17
1975,12
1976,10
1977,0
1978,5
1979,9
1980,8
1981,8
1982,7
1983,5
1984,8
1985,7
1986,0
1987,7
1988,10
1989,0
1990,7
1991,0
1992,5
1993,5
1994,6
1995,0
1996,0
1997,0
1998,0
1999,0
2000,5
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
