year,Joette
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,5
1932,8
1933,12
1934,6
1935,8
1936,8
1937,10
1938,11
1939,12
1940,8
1941,14
1942,17
1943,17
1944,21
1945,12
1946,45
1947,51
1948,43
1949,60
1950,74
1951,84
1952,97
1953,115
1954,130
1955,116
1956,78
1957,53
1958,63
1959,49
1960,53
1961,54
1962,38
1963,43
1964,36
1965,37
1966,42
1967,33
1968,38
1969,39
1970,38
1971,47
1972,34
1973,21
1974,26
1975,16
1976,19
1977,25
1978,12
1979,15
1980,9
1981,17
1982,14
1983,13
1984,10
1985,13
1986,5
1987,7
1988,6
1989,5
1990,0
1991,8
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
