year,Joana
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,5
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,5
1915,0
1916,0
1917,0
1918,9
1919,0
1920,11
1921,5
1922,0
1923,0
1924,8
1925,5
1926,5
1927,6
1928,0
1929,11
1930,10
1931,11
1932,6
1933,10
1934,13
1935,7
1936,6
1937,7
1938,18
1939,8
1940,9
1941,9
1942,10
1943,10
1944,10
1945,8
1946,12
1947,10
1948,7
1949,6
1950,6
1951,12
1952,7
1953,14
1954,11
1955,14
1956,18
1957,17
1958,10
1959,12
1960,13
1961,18
1962,15
1963,17
1964,12
1965,18
1966,16
1967,21
1968,19
1969,26
1970,33
1971,25
1972,34
1973,27
1974,33
1975,32
1976,38
1977,49
1978,33
1979,46
1980,107
1981,106
1982,90
1983,89
1984,113
1985,148
1986,123
1987,125
1988,152
1989,174
1990,213
1991,202
1992,188
1993,182
1994,205
1995,177
1996,166
1997,168
1998,135
1999,157
2000,240
2001,357
2002,263
2003,327
2004,291
2005,279
2006,260
2007,274
2008,207
2009,167
2010,149
2011,126
2012,106
