year,Jeanna
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,5
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,6
1935,5
1936,0
1937,5
1938,6
1939,5
1940,7
1941,8
1942,10
1943,9
1944,12
1945,8
1946,20
1947,42
1948,33
1949,33
1950,33
1951,32
1952,39
1953,32
1954,48
1955,71
1956,116
1957,92
1958,122
1959,141
1960,134
1961,126
1962,190
1963,202
1964,198
1965,182
1966,214
1967,202
1968,213
1969,237
1970,299
1971,281
1972,239
1973,225
1974,200
1975,203
1976,206
1977,226
1978,249
1979,232
1980,241
1981,188
1982,190
1983,188
1984,209
1985,203
1986,197
1987,195
1988,173
1989,149
1990,127
1991,124
1992,106
1993,117
1994,100
1995,73
1996,68
1997,61
1998,73
1999,71
2000,51
2001,62
2002,62
2003,57
2004,54
2005,52
2006,47
2007,34
2008,42
2009,30
2010,33
2011,16
2012,33
