year,Joetta
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,6
1914,0
1915,9
1916,0
1917,0
1918,9
1919,9
1920,11
1921,12
1922,8
1923,5
1924,17
1925,10
1926,20
1927,16
1928,21
1929,22
1930,28
1931,54
1932,39
1933,55
1934,43
1935,51
1936,47
1937,45
1938,67
1939,48
1940,53
1941,59
1942,58
1943,69
1944,59
1945,61
1946,64
1947,68
1948,85
1949,90
1950,78
1951,95
1952,76
1953,94
1954,111
1955,94
1956,98
1957,103
1958,100
1959,103
1960,81
1961,65
1962,76
1963,68
1964,57
1965,58
1966,67
1967,56
1968,61
1969,54
1970,44
1971,50
1972,40
1973,43
1974,31
1975,34
1976,26
1977,26
1978,18
1979,22
1980,22
1981,24
1982,13
1983,17
1984,23
1985,18
1986,15
1987,11
1988,17
1989,13
1990,11
1991,12
1992,8
1993,6
1994,6
1995,5
1996,0
1997,9
1998,5
1999,5
2000,0
2001,7
2002,7
2003,5
2004,9
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,6
2012,0
