year,Jimmey
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,6
1920,12
1921,6
1922,8
1923,7
1924,6
1925,14
1926,0
1927,6
1928,8
1929,6
1930,10
1931,11
1932,9
1933,14
1934,18
1935,20
1936,20
1937,11
1938,14
1939,17
1940,13
1941,17
1942,14
1943,22
1944,19
1945,26
1946,36
1947,21
1948,27
1949,16
1950,18
1951,14
1952,27
1953,21
1954,17
1955,17
1956,19
1957,21
1958,15
1959,14
1960,21
1961,12
1962,15
1963,23
1964,20
1965,18
1966,17
1967,14
1968,12
1969,13
1970,11
1971,13
1972,16
1973,13
1974,0
1975,9
1976,8
1977,10
1978,9
1979,10
1980,7
1981,6
1982,5
1983,0
1984,0
1985,0
1986,0
1987,0
1988,5
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
