year,Joani
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,6
1946,0
1947,0
1948,8
1949,6
1950,0
1951,9
1952,7
1953,8
1954,14
1955,11
1956,16
1957,14
1958,9
1959,16
1960,23
1961,14
1962,22
1963,14
1964,21
1965,20
1966,13
1967,7
1968,15
1969,7
1970,11
1971,14
1972,7
1973,6
1974,10
1975,7
1976,14
1977,12
1978,20
1979,11
1980,20
1981,12
1982,12
1983,11
1984,9
1985,8
1986,11
1987,5
1988,13
1989,8
1990,5
1991,5
1992,0
1993,10
1994,6
1995,6
1996,0
1997,0
1998,0
1999,7
2000,0
2001,5
2002,0
2003,5
2004,0
2005,6
2006,6
2007,0
2008,10
2009,0
2010,8
2011,5
2012,0
