year,Judge (F),Judge (M)
1880,0.000000,0.000124
1881,0.000000,0.000073
1882,0.000000,0.000090
1883,0.000000,0.000111
1884,0.000000,0.000086
1885,0.000000,0.000066
1886,0.000000,0.000078
1887,0.000000,0.000073
1888,0.000000,0.000077
1889,0.000000,0.000069
1890,0.000000,0.000050
1891,0.000000,0.000087
1892,0.000000,0.000060
1893,0.000000,0.000058
1894,0.000000,0.000041
1895,0.000000,0.000063
1896,0.000000,0.000039
1897,0.000000,0.000043
1898,0.000000,0.000055
1899,0.000000,0.000035
1900,0.000000,0.000060
1901,0.000000,0.000014
1902,0.000000,0.000047
1903,0.000000,0.000042
1904,0.000000,0.000052
1905,0.000000,0.000038
1906,0.000000,0.000051
1907,0.000000,0.000037
1908,0.000000,0.000029
1909,0.000000,0.000057
1910,0.000000,0.000063
1911,0.000000,0.000023
1912,0.000000,0.000045
1913,0.000000,0.000033
1914,0.000000,0.000024
1915,0.000000,0.000027
1916,0.000000,0.000030
1917,0.000000,0.000029
1918,0.000000,0.000029
1919,0.000000,0.000031
1920,0.000000,0.000029
1921,0.000000,0.000022
1922,0.000000,0.000026
1923,0.000000,0.000024
1924,0.000000,0.000026
1925,0.000000,0.000025
1926,0.000000,0.000028
1927,0.000000,0.000024
1928,0.000000,0.000013
1929,0.000000,0.000021
1930,0.000000,0.000023
1931,0.000000,0.000022
1932,0.000000,0.000021
1933,0.000000,0.000015
1934,0.000000,0.000026
1935,0.000000,0.000019
1936,0.000000,0.000017
1937,0.000000,0.000014
1938,0.000000,0.000019
1939,0.000000,0.000009
1940,0.000000,0.000017
1941,0.000000,0.000012
1942,0.000000,0.000009
1943,0.000000,0.000011
1944,0.000000,0.000009
1945,0.000000,0.000012
1946,0.000000,0.000010
1947,0.000000,0.000008
1948,0.000000,0.000008
1949,0.000000,0.000009
1950,0.000000,0.000008
1951,0.000000,0.000011
1952,0.000000,0.000009
1953,0.000000,0.000010
1954,0.000000,0.000007
1955,0.000000,0.000005
1956,0.000000,0.000005
1957,0.000000,0.000006
1958,0.000000,0.000005
1959,0.000000,0.000005
1960,0.000000,0.000005
1961,0.000000,0.000004
1962,0.000000,0.000004
1963,0.000000,0.000003
1964,0.000000,0.000003
1965,0.000000,0.000004
1966,0.000000,0.000003
1967,0.000000,0.000004
1968,0.000000,0.000004
1969,0.000000,0.000003
1970,0.000000,0.000004
1971,0.000000,0.000001
1972,0.000000,0.000003
1973,0.000000,0.000004
1974,0.000000,0.000003
1975,0.000000,0.000006
1976,0.000000,0.000004
1977,0.000000,0.000003
1978,0.000000,0.000004
1979,0.000000,0.000003
1980,0.000000,0.000003
1981,0.000000,0.000003
1982,0.000000,0.000004
1983,0.000000,0.000000
1984,0.000000,0.000003
1985,0.000000,0.000004
1986,0.000000,0.000003
1987,0.000000,0.000002
1988,0.000000,0.000005
1989,0.000000,0.000003
1990,0.000000,0.000003
1991,0.000000,0.000003
1992,0.000000,0.000004
1993,0.000000,0.000003
1994,0.000000,0.000005
1995,0.000000,0.000004
1996,0.000000,0.000006
1997,0.000000,0.000002
1998,0.000000,0.000005
1999,0.000000,0.000007
2000,0.000000,0.000004
2001,0.000000,0.000007
2002,0.000000,0.000003
2003,0.000000,0.000007
2004,0.000000,0.000007
2005,0.000000,0.000006
2006,0.000000,0.000006
2007,0.000000,0.000005
2008,0.000000,0.000003
2009,0.000000,0.000006
2010,0.000000,0.000008
2011,0.000000,0.000005
2012,0.000000,0.000006
2013,0.000000,0.000004
