year,Johnson (F),Johnson (M)
1880,0.000000,0.000065
1881,0.000000,0.000057
1882,0.000000,0.000050
1883,0.000000,0.000055
1884,0.000000,0.000053
1885,0.000000,0.000054
1886,0.000000,0.000043
1887,0.000000,0.000044
1888,0.000000,0.000060
1889,0.000000,0.000045
1890,0.000000,0.000053
1891,0.000000,0.000084
1892,0.000000,0.000060
1893,0.000000,0.000040
1894,0.000000,0.000018
1895,0.000000,0.000037
1896,0.000000,0.000056
1897,0.000000,0.000032
1898,0.000000,0.000026
1899,0.000000,0.000065
1900,0.000000,0.000080
1901,0.000000,0.000052
1902,0.000000,0.000034
1903,0.000000,0.000037
1904,0.000000,0.000050
1905,0.000000,0.000090
1906,0.000000,0.000058
1907,0.000000,0.000034
1908,0.000000,0.000035
1909,0.000000,0.000047
1910,0.000000,0.000041
1911,0.000000,0.000028
1912,0.000000,0.000043
1913,0.000000,0.000028
1914,0.000000,0.000037
1915,0.000000,0.000040
1916,0.000000,0.000036
1917,0.000003,0.000027
1918,0.000000,0.000036
1919,0.000000,0.000036
1920,0.000000,0.000030
1921,0.000000,0.000036
1922,0.000000,0.000023
1923,0.000000,0.000027
1924,0.000000,0.000027
1925,0.000000,0.000024
1926,0.000000,0.000027
1927,0.000000,0.000025
1928,0.000000,0.000029
1929,0.000000,0.000026
1930,0.000000,0.000023
1931,0.000000,0.000016
1932,0.000000,0.000026
1933,0.000000,0.000019
1934,0.000000,0.000019
1935,0.000000,0.000019
1936,0.000000,0.000018
1937,0.000000,0.000017
1938,0.000000,0.000020
1939,0.000000,0.000017
1940,0.000000,0.000014
1941,0.000000,0.000015
1942,0.000000,0.000020
1943,0.000000,0.000018
1944,0.000000,0.000020
1945,0.000000,0.000018
1946,0.000000,0.000013
1947,0.000000,0.000014
1948,0.000000,0.000017
1949,0.000000,0.000013
1950,0.000000,0.000013
1951,0.000000,0.000011
1952,0.000000,0.000012
1953,0.000000,0.000010
1954,0.000000,0.000010
1955,0.000000,0.000008
1956,0.000000,0.000006
1957,0.000000,0.000010
1958,0.000000,0.000007
1959,0.000000,0.000007
1960,0.000000,0.000009
1961,0.000000,0.000010
1962,0.000000,0.000008
1963,0.000000,0.000010
1964,0.000000,0.000011
1965,0.000000,0.000010
1966,0.000000,0.000009
1967,0.000000,0.000009
1968,0.000000,0.000009
1969,0.000000,0.000008
1970,0.000000,0.000006
1971,0.000000,0.000006
1972,0.000000,0.000009
1973,0.000000,0.000006
1974,0.000000,0.000011
1975,0.000000,0.000008
1976,0.000000,0.000012
1977,0.000002,0.000007
1978,0.000000,0.000009
1979,0.000000,0.000011
1980,0.000000,0.000016
1981,0.000000,0.000018
1982,0.000000,0.000026
1983,0.000000,0.000025
1984,0.000000,0.000019
1985,0.000000,0.000023
1986,0.000001,0.000025
1987,0.000001,0.000027
1988,0.000000,0.000025
1989,0.000000,0.000025
1990,0.000000,0.000023
1991,0.000000,0.000024
1992,0.000000,0.000023
1993,0.000000,0.000028
1994,0.000000,0.000023
1995,0.000000,0.000025
1996,0.000000,0.000028
1997,0.000000,0.000023
1998,0.000000,0.000018
1999,0.000000,0.000021
2000,0.000000,0.000029
2001,0.000000,0.000022
2002,0.000000,0.000021
2003,0.000000,0.000026
2004,0.000000,0.000023
2005,0.000000,0.000020
2006,0.000000,0.000024
2007,0.000000,0.000024
2008,0.000000,0.000018
2009,0.000000,0.000022
2010,0.000000,0.000016
2011,0.000000,0.000020
2012,0.000000,0.000018
2013,0.000000,0.000017
2014,0.000000,0.000016
2015,0.000000,0.000020
2016,0.000000,0.000020
2017,0.000000,0.000017
2018,0.000000,0.000015
2019,0.000000,0.000017
2020,0.000000,0.000018
