year,Joanette
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,6
1937,5
1938,0
1939,0
1940,5
1941,0
1942,9
1943,7
1944,6
1945,6
1946,5
1947,12
1948,7
1949,5
1950,8
1951,9
1952,16
1953,12
1954,10
1955,13
1956,9
1957,15
1958,18
1959,16
1960,14
1961,21
1962,15
1963,12
1964,16
1965,7
1966,10
1967,14
1968,7
1969,10
1970,11
1971,5
1972,0
1973,6
1974,0
1975,0
1976,0
1977,0
1978,9
1979,6
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,5
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
