year,Janae
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,6
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,6
1948,8
1949,0
1950,7
1951,12
1952,10
1953,8
1954,14
1955,17
1956,18
1957,26
1958,22
1959,23
1960,24
1961,23
1962,29
1963,39
1964,37
1965,38
1966,38
1967,47
1968,42
1969,55
1970,56
1971,55
1972,56
1973,83
1974,64
1975,87
1976,201
1977,173
1978,152
1979,188
1980,187
1981,205
1982,216
1983,221
1984,215
1985,216
1986,245
1987,442
1988,432
1989,467
1990,480
1991,525
1992,488
1993,449
1994,545
1995,471
1996,474
1997,535
1998,536
1999,516
2000,589
2001,495
2002,524
2003,494
2004,490
2005,458
2006,421
2007,433
2008,368
2009,398
2010,404
2011,388
2012,331
