year,Johnsie
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,8
1901,0
1902,6
1903,0
1904,7
1905,6
1906,10
1907,7
1908,8
1909,15
1910,11
1911,17
1912,19
1913,13
1914,22
1915,33
1916,33
1917,18
1918,42
1919,34
1920,39
1921,29
1922,37
1923,35
1924,34
1925,40
1926,28
1927,18
1928,26
1929,29
1930,24
1931,33
1932,30
1933,33
1934,30
1935,28
1936,19
1937,28
1938,23
1939,25
1940,29
1941,14
1942,26
1943,23
1944,30
1945,11
1946,14
1947,18
1948,10
1949,15
1950,18
1951,14
1952,11
1953,14
1954,16
1955,16
1956,7
1957,5
1958,11
1959,11
1960,9
1961,10
1962,0
1963,5
1964,6
1965,8
1966,0
1967,0
1968,0
1969,0
1970,6
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
