year,Janee
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,7
1947,13
1948,8
1949,6
1950,5
1951,5
1952,8
1953,6
1954,14
1955,14
1956,13
1957,16
1958,18
1959,12
1960,17
1961,19
1962,17
1963,15
1964,18
1965,17
1966,26
1967,25
1968,34
1969,42
1970,47
1971,38
1972,27
1973,31
1974,31
1975,33
1976,47
1977,55
1978,53
1979,73
1980,79
1981,75
1982,61
1983,50
1984,63
1985,58
1986,81
1987,118
1988,128
1989,168
1990,149
1991,139
1992,155
1993,105
1994,97
1995,100
1996,84
1997,84
1998,87
1999,64
2000,52
2001,53
2002,54
2003,45
2004,38
2005,32
2006,29
2007,22
2008,25
2009,26
2010,17
2011,16
2012,11
