year,Jeffry (F),Jeffry (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000000
1883,0.000000,0.000000
1884,0.000000,0.000000
1885,0.000000,0.000000
1886,0.000000,0.000000
1887,0.000000,0.000000
1888,0.000000,0.000000
1889,0.000000,0.000000
1890,0.000000,0.000000
1891,0.000000,0.000000
1892,0.000000,0.000000
1893,0.000000,0.000000
1894,0.000000,0.000000
1895,0.000000,0.000000
1896,0.000000,0.000000
1897,0.000000,0.000000
1898,0.000000,0.000000
1899,0.000000,0.000000
1900,0.000000,0.000000
1901,0.000000,0.000000
1902,0.000000,0.000000
1903,0.000000,0.000000
1904,0.000000,0.000000
1905,0.000000,0.000000
1906,0.000000,0.000000
1907,0.000000,0.000000
1908,0.000000,0.000000
1909,0.000000,0.000000
1910,0.000000,0.000000
1911,0.000000,0.000000
1912,0.000000,0.000000
1913,0.000000,0.000000
1914,0.000000,0.000000
1915,0.000000,0.000000
1916,0.000000,0.000000
1917,0.000000,0.000000
1918,0.000000,0.000000
1919,0.000000,0.000003
1920,0.000000,0.000000
1921,0.000000,0.000000
1922,0.000000,0.000000
1923,0.000000,0.000000
1924,0.000000,0.000000
1925,0.000000,0.000000
1926,0.000000,0.000000
1927,0.000000,0.000002
1928,0.000000,0.000000
1929,0.000000,0.000000
1930,0.000000,0.000000
1931,0.000000,0.000000
1932,0.000000,0.000002
1933,0.000000,0.000004
1934,0.000000,0.000000
1935,0.000000,0.000000
1936,0.000000,0.000003
1937,0.000000,0.000002
1938,0.000000,0.000004
1939,0.000000,0.000007
1940,0.000000,0.000016
1941,0.000000,0.000018
1942,0.000000,0.000031
1943,0.000000,0.000028
1944,0.000000,0.000032
1945,0.000000,0.000034
1946,0.000000,0.000041
1947,0.000000,0.000047
1948,0.000000,0.000041
1949,0.000000,0.000055
1950,0.000000,0.000060
1951,0.000000,0.000076
1952,0.000000,0.000087
1953,0.000000,0.000110
1954,0.000000,0.000125
1955,0.000000,0.000130
1956,0.000000,0.000133
1957,0.000000,0.000132
1958,0.000000,0.000133
1959,0.000000,0.000130
1960,0.000000,0.000127
1961,0.000000,0.000120
1962,0.000001,0.000118
1963,0.000000,0.000114
1964,0.000000,0.000108
1965,0.000000,0.000105
1966,0.000000,0.000120
1967,0.000000,0.000118
1968,0.000000,0.000107
1969,0.000000,0.000110
1970,0.000000,0.000087
1971,0.000001,0.000084
1972,0.000000,0.000071
1973,0.000000,0.000066
1974,0.000000,0.000074
1975,0.000000,0.000080
1976,0.000000,0.000064
1977,0.000000,0.000067
1978,0.000000,0.000057
1979,0.000000,0.000045
1980,0.000000,0.000057
1981,0.000000,0.000049
1982,0.000000,0.000040
1983,0.000000,0.000044
1984,0.000000,0.000035
1985,0.000000,0.000036
1986,0.000000,0.000033
1987,0.000000,0.000034
1988,0.000000,0.000036
1989,0.000000,0.000027
1990,0.000000,0.000031
1991,0.000000,0.000030
1992,0.000000,0.000027
1993,0.000000,0.000025
1994,0.000000,0.000020
1995,0.000000,0.000024
1996,0.000000,0.000019
1997,0.000000,0.000018
1998,0.000000,0.000016
1999,0.000000,0.000015
2000,0.000000,0.000016
2001,0.000000,0.000015
2002,0.000000,0.000018
2003,0.000000,0.000016
2004,0.000000,0.000013
2005,0.000000,0.000014
2006,0.000000,0.000014
2007,0.000000,0.000018
2008,0.000000,0.000016
2009,0.000000,0.000014
2010,0.000000,0.000012
2011,0.000000,0.000013
2012,0.000000,0.000010
2013,0.000000,0.000010
