year,Jodean
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,5
1926,0
1927,0
1928,0
1929,5
1930,0
1931,5
1932,8
1933,7
1934,0
1935,5
1936,5
1937,5
1938,6
1939,0
1940,5
1941,13
1942,0
1943,0
1944,5
1945,9
1946,6
1947,13
1948,13
1949,10
1950,8
1951,5
1952,8
1953,14
1954,9
1955,13
1956,19
1957,18
1958,9
1959,9
1960,28
1961,21
1962,28
1963,16
1964,12
1965,8
1966,18
1967,15
1968,8
1969,11
1970,12
1971,6
1972,5
1973,0
1974,5
1975,0
1976,0
1977,6
1978,0
1979,6
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,5
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
