year,Johathan
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,0
1955,6
1956,0
1957,0
1958,6
1959,5
1960,0
1961,8
1962,5
1963,8
1964,11
1965,10
1966,12
1967,17
1968,14
1969,23
1970,33
1971,29
1972,14
1973,25
1974,30
1975,34
1976,37
1977,42
1978,43
1979,49
1980,66
1981,96
1982,97
1983,108
1984,84
1985,107
1986,103
1987,106
1988,114
1989,94
1990,71
1991,55
1992,41
1993,32
1994,32
1995,43
1996,25
1997,15
1998,22
1999,15
2000,19
2001,20
2002,16
2003,17
2004,15
2005,9
2006,14
2007,6
2008,7
2009,5
2010,7
2011,6
2012,6
