year,Jania
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,7
1953,0
1954,0
1955,0
1956,0
1957,6
1958,0
1959,0
1960,0
1961,5
1962,11
1963,5
1964,7
1965,6
1966,5
1967,0
1968,0
1969,5
1970,10
1971,0
1972,11
1973,7
1974,6
1975,8
1976,7
1977,16
1978,14
1979,11
1980,11
1981,11
1982,17
1983,13
1984,11
1985,15
1986,14
1987,13
1988,19
1989,15
1990,15
1991,28
1992,27
1993,25
1994,15
1995,35
1996,54
1997,54
1998,55
1999,89
2000,125
2001,135
2002,146
2003,180
2004,173
2005,194
2006,190
2007,178
2008,131
2009,115
2010,92
2011,70
2012,45
