year,Joella
1880,6
1881,0
1882,5
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,8
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,5
1902,0
1903,6
1904,0
1905,9
1906,7
1907,0
1908,0
1909,0
1910,6
1911,6
1912,6
1913,13
1914,8
1915,12
1916,18
1917,15
1918,21
1919,7
1920,26
1921,17
1922,29
1923,20
1924,26
1925,28
1926,25
1927,37
1928,29
1929,36
1930,36
1931,33
1932,32
1933,32
1934,39
1935,38
1936,42
1937,37
1938,46
1939,42
1940,51
1941,41
1942,46
1943,35
1944,62
1945,34
1946,48
1947,62
1948,61
1949,37
1950,39
1951,41
1952,44
1953,39
1954,41
1955,54
1956,58
1957,49
1958,39
1959,43
1960,39
1961,42
1962,32
1963,41
1964,39
1965,33
1966,68
1967,33
1968,55
1969,49
1970,43
1971,39
1972,32
1973,38
1974,28
1975,32
1976,18
1977,27
1978,20
1979,33
1980,44
1981,27
1982,27
1983,29
1984,33
1985,25
1986,19
1987,27
1988,26
1989,26
1990,22
1991,20
1992,24
1993,17
1994,12
1995,13
1996,24
1997,11
1998,23
1999,19
2000,23
2001,20
2002,27
2003,22
2004,36
2005,26
2006,33
2007,41
2008,44
2009,42
2010,46
2011,57
2012,55
