year,Janett
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,7
1912,0
1913,8
1914,12
1915,6
1916,12
1917,14
1918,15
1919,9
1920,16
1921,11
1922,24
1923,12
1924,21
1925,16
1926,15
1927,17
1928,18
1929,17
1930,15
1931,25
1932,17
1933,35
1934,30
1935,40
1936,33
1937,42
1938,31
1939,29
1940,25
1941,48
1942,52
1943,48
1944,54
1945,44
1946,54
1947,61
1948,48
1949,54
1950,52
1951,46
1952,62
1953,45
1954,59
1955,62
1956,50
1957,51
1958,52
1959,49
1960,54
1961,41
1962,38
1963,48
1964,39
1965,34
1966,35
1967,23
1968,29
1969,29
1970,19
1971,28
1972,25
1973,31
1974,24
1975,42
1976,20
1977,28
1978,33
1979,41
1980,26
1981,52
1982,39
1983,38
1984,31
1985,40
1986,41
1987,42
1988,49
1989,44
1990,50
1991,71
1992,51
1993,50
1994,57
1995,47
1996,37
1997,33
1998,41
1999,33
2000,30
2001,40
2002,44
2003,34
2004,32
2005,29
2006,31
2007,24
2008,21
2009,23
2010,25
2011,19
2012,20
