year,Jody (F),Jody (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000000
1883,0.000000,0.000000
1884,0.000000,0.000000
1885,0.000000,0.000000
1886,0.000000,0.000000
1887,0.000000,0.000000
1888,0.000000,0.000000
1889,0.000000,0.000000
1890,0.000000,0.000000
1891,0.000000,0.000000
1892,0.000000,0.000000
1893,0.000000,0.000000
1894,0.000000,0.000000
1895,0.000000,0.000000
1896,0.000000,0.000000
1897,0.000000,0.000000
1898,0.000000,0.000000
1899,0.000000,0.000000
1900,0.000000,0.000000
1901,0.000000,0.000000
1902,0.000000,0.000000
1903,0.000000,0.000000
1904,0.000000,0.000000
1905,0.000000,0.000000
1906,0.000000,0.000000
1907,0.000000,0.000000
1908,0.000000,0.000000
1909,0.000000,0.000000
1910,0.000000,0.000010
1911,0.000000,0.000000
1912,0.000000,0.000000
1913,0.000000,0.000000
1914,0.000000,0.000000
1915,0.000000,0.000000
1916,0.000000,0.000000
1917,0.000000,0.000003
1918,0.000000,0.000000
1919,0.000002,0.000003
1920,0.000003,0.000002
1921,0.000000,0.000003
1922,0.000000,0.000000
1923,0.000000,0.000005
1924,0.000002,0.000005
1925,0.000004,0.000004
1926,0.000003,0.000005
1927,0.000000,0.000006
1928,0.000004,0.000005
1929,0.000003,0.000006
1930,0.000005,0.000004
1931,0.000008,0.000004
1932,0.000010,0.000003
1933,0.000014,0.000007
1934,0.000014,0.000006
1935,0.000015,0.000008
1936,0.000017,0.000008
1937,0.000014,0.000008
1938,0.000016,0.000011
1939,0.000010,0.000010
1940,0.000023,0.000010
1941,0.000017,0.000007
1942,0.000022,0.000011
1943,0.000023,0.000009
1944,0.000031,0.000012
1945,0.000027,0.000010
1946,0.000036,0.000016
1947,0.000067,0.000038
1948,0.000079,0.000038
1949,0.000084,0.000035
1950,0.000124,0.000040
1951,0.000151,0.000042
1952,0.000227,0.000049
1953,0.000221,0.000049
1954,0.000275,0.000051
1955,0.000376,0.000074
1956,0.000424,0.000070
1957,0.000508,0.000093
1958,0.000539,0.000160
1959,0.000448,0.000216
1960,0.000443,0.000239
1961,0.000443,0.000201
1962,0.000441,0.000147
1963,0.000436,0.000185
1964,0.000428,0.000190
1965,0.000433,0.000186
1966,0.000506,0.000216
1967,0.000479,0.000311
1968,0.000566,0.000384
1969,0.000563,0.000458
1970,0.000610,0.000416
1971,0.000564,0.000496
1972,0.000544,0.000427
1973,0.000559,0.000412
1974,0.000585,0.000370
1975,0.000558,0.000311
1976,0.000516,0.000328
1977,0.000473,0.000334
1978,0.000368,0.000266
1979,0.000298,0.000219
1980,0.000246,0.000175
1981,0.000215,0.000143
1982,0.000193,0.000104
1983,0.000174,0.000096
1984,0.000158,0.000092
1985,0.000138,0.000083
1986,0.000091,0.000076
1987,0.000078,0.000069
1988,0.000074,0.000068
1989,0.000059,0.000057
1990,0.000048,0.000054
1991,0.000043,0.000052
1992,0.000042,0.000036
1993,0.000039,0.000036
1994,0.000031,0.000040
1995,0.000033,0.000034
1996,0.000029,0.000035
1997,0.000023,0.000029
1998,0.000026,0.000030
1999,0.000022,0.000029
2000,0.000018,0.000021
2001,0.000014,0.000025
2002,0.000015,0.000023
2003,0.000012,0.000026
2004,0.000013,0.000027
2005,0.000010,0.000020
2006,0.000009,0.000022
2007,0.000010,0.000025
2008,0.000008,0.000021
2009,0.000009,0.000019
2010,0.000006,0.000020
2011,0.000010,0.000020
2012,0.000007,0.000017
