year,Jinny
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,8
1941,5
1942,10
1943,11
1944,0
1945,9
1946,9
1947,12
1948,14
1949,8
1950,10
1951,9
1952,10
1953,10
1954,13
1955,15
1956,14
1957,12
1958,13
1959,18
1960,5
1961,14
1962,11
1963,10
1964,8
1965,15
1966,8
1967,0
1968,12
1969,10
1970,16
1971,13
1972,14
1973,17
1974,22
1975,14
1976,11
1977,27
1978,22
1979,18
1980,22
1981,19
1982,21
1983,17
1984,21
1985,25
1986,18
1987,11
1988,17
1989,11
1990,12
1991,15
1992,8
1993,13
1994,11
1995,5
1996,16
1997,6
1998,12
1999,8
2000,7
2001,6
2002,7
2003,6
2004,11
2005,0
2006,7
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
