year,Janina
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,8
1912,5
1913,17
1914,20
1915,33
1916,40
1917,35
1918,25
1919,28
1920,23
1921,32
1922,10
1923,16
1924,14
1925,22
1926,12
1927,10
1928,7
1929,8
1930,6
1931,0
1932,0
1933,5
1934,0
1935,0
1936,0
1937,7
1938,7
1939,6
1940,6
1941,6
1942,9
1943,7
1944,17
1945,13
1946,11
1947,16
1948,15
1949,12
1950,16
1951,20
1952,18
1953,23
1954,33
1955,19
1956,27
1957,12
1958,18
1959,18
1960,29
1961,27
1962,20
1963,34
1964,42
1965,33
1966,25
1967,40
1968,33
1969,45
1970,36
1971,28
1972,30
1973,36
1974,38
1975,32
1976,52
1977,37
1978,44
1979,59
1980,78
1981,62
1982,67
1983,62
1984,41
1985,51
1986,45
1987,53
1988,53
1989,59
1990,56
1991,54
1992,48
1993,52
1994,29
1995,42
1996,24
1997,33
1998,18
1999,26
2000,34
2001,28
2002,32
2003,17
2004,22
2005,26
2006,33
2007,31
2008,23
2009,23
2010,22
2011,17
2012,12
