year,Junita
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,6
1913,11
1914,11
1915,8
1916,17
1917,17
1918,19
1919,20
1920,20
1921,24
1922,31
1923,27
1924,31
1925,29
1926,41
1927,31
1928,38
1929,22
1930,28
1931,38
1932,18
1933,23
1934,29
1935,16
1936,24
1937,27
1938,21
1939,17
1940,33
1941,15
1942,15
1943,16
1944,19
1945,15
1946,13
1947,14
1948,6
1949,22
1950,16
1951,12
1952,12
1953,11
1954,12
1955,15
1956,17
1957,11
1958,15
1959,18
1960,6
1961,15
1962,14
1963,15
1964,19
1965,19
1966,14
1967,13
1968,10
1969,7
1970,16
1971,13
1972,13
1973,12
1974,11
1975,14
1976,12
1977,9
1978,11
1979,10
1980,13
1981,12
1982,8
1983,5
1984,5
1985,10
1986,10
1987,12
1988,7
1989,10
1990,10
1991,0
1992,7
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
