year,Jaysen
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
1956,5
1957,0
1958,0
1959,0
1960,6
1961,0
1962,0
1963,0
1964,0
1965,0
1966,5
1967,0
1968,0
1969,13
1970,20
1971,23
1972,29
1973,27
1974,34
1975,30
1976,34
1977,34
1978,34
1979,30
1980,18
1981,32
1982,32
1983,28
1984,15
1985,25
1986,23
1987,32
1988,23
1989,21
1990,20
1991,16
1992,23
1993,27
1994,30
1995,33
1996,39
1997,35
1998,58
1999,57
2000,65
2001,63
2002,70
2003,69
2004,88
2005,91
2006,87
2007,100
2008,99
2009,110
2010,106
2011,119
2012,107
