year,Jacquelene
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,6
1922,0
1923,0
1924,8
1925,11
1926,8
1927,9
1928,12
1929,21
1930,19
1931,15
1932,13
1933,13
1934,20
1935,22
1936,17
1937,15
1938,16
1939,17
1940,14
1941,19
1942,16
1943,29
1944,21
1945,13
1946,26
1947,18
1948,22
1949,18
1950,17
1951,22
1952,21
1953,17
1954,16
1955,20
1956,27
1957,10
1958,12
1959,12
1960,14
1961,31
1962,24
1963,27
1964,21
1965,30
1966,21
1967,19
1968,16
1969,11
1970,24
1971,15
1972,14
1973,7
1974,14
1975,10
1976,8
1977,7
1978,12
1979,5
1980,9
1981,13
1982,19
1983,11
1984,38
1985,31
1986,29
1987,22
1988,19
1989,14
1990,15
1991,10
1992,10
1993,11
1994,10
1995,15
1996,10
1997,12
1998,11
1999,5
2000,7
2001,10
2002,11
2003,5
2004,7
2005,0
2006,0
2007,0
2008,6
2009,0
2010,0
2011,0
2012,0
