year,Juston
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,5
1919,0
1920,0
1921,0
1922,5
1923,0
1924,5
1925,0
1926,0
1927,0
1928,0
1929,7
1930,0
1931,5
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,5
1939,0
1940,0
1941,0
1942,0
1943,0
1944,6
1945,0
1946,5
1947,0
1948,5
1949,5
1950,0
1951,0
1952,0
1953,5
1954,0
1955,0
1956,5
1957,0
1958,0
1959,5
1960,0
1961,7
1962,0
1963,9
1964,0
1965,5
1966,0
1967,0
1968,5
1969,7
1970,13
1971,16
1972,33
1973,32
1974,39
1975,55
1976,65
1977,65
1978,85
1979,90
1980,122
1981,106
1982,83
1983,100
1984,95
1985,89
1986,90
1987,81
1988,81
1989,86
1990,102
1991,58
1992,56
1993,63
1994,43
1995,63
1996,46
1997,51
1998,42
1999,44
2000,50
2001,37
2002,39
2003,35
2004,28
2005,30
2006,20
2007,30
2008,24
2009,15
2010,20
2011,17
2012,11
