year,Jerrold (F),Jerrold (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000000
1883,0.000000,0.000000
1884,0.000000,0.000000
1885,0.000000,0.000000
1886,0.000000,0.000000
1887,0.000000,0.000000
1888,0.000000,0.000000
1889,0.000000,0.000000
1890,0.000000,0.000000
1891,0.000000,0.000000
1892,0.000000,0.000000
1893,0.000000,0.000000
1894,0.000000,0.000000
1895,0.000000,0.000000
1896,0.000000,0.000000
1897,0.000000,0.000000
1898,0.000000,0.000000
1899,0.000000,0.000000
1900,0.000000,0.000000
1901,0.000000,0.000000
1902,0.000000,0.000000
1903,0.000000,0.000000
1904,0.000000,0.000000
1905,0.000000,0.000000
1906,0.000000,0.000000
1907,0.000000,0.000000
1908,0.000000,0.000000
1909,0.000000,0.000000
1910,0.000000,0.000000
1911,0.000000,0.000008
1912,0.000000,0.000005
1913,0.000000,0.000008
1914,0.000000,0.000006
1915,0.000000,0.000013
1916,0.000000,0.000012
1917,0.000000,0.000012
1918,0.000000,0.000009
1919,0.000000,0.000010
1920,0.000000,0.000005
1921,0.000000,0.000010
1922,0.000000,0.000015
1923,0.000000,0.000017
1924,0.000000,0.000013
1925,0.000000,0.000019
1926,0.000000,0.000017
1927,0.000000,0.000024
1928,0.000000,0.000023
1929,0.000000,0.000033
1930,0.000000,0.000045
1931,0.000000,0.000046
1932,0.000000,0.000045
1933,0.000000,0.000049
1934,0.000000,0.000058
1935,0.000000,0.000058
1936,0.000000,0.000054
1937,0.000000,0.000064
1938,0.000000,0.000057
1939,0.000000,0.000074
1940,0.000000,0.000063
1941,0.000000,0.000070
1942,0.000000,0.000067
1943,0.000000,0.000060
1944,0.000000,0.000053
1945,0.000000,0.000060
1946,0.000000,0.000060
1947,0.000000,0.000052
1948,0.000000,0.000047
1949,0.000000,0.000047
1950,0.000000,0.000065
1951,0.000000,0.000075
1952,0.000000,0.000074
1953,0.000000,0.000080
1954,0.000000,0.000086
1955,0.000000,0.000060
1956,0.000000,0.000044
1957,0.000000,0.000036
1958,0.000000,0.000030
1959,0.000000,0.000029
1960,0.000000,0.000026
1961,0.000000,0.000027
1962,0.000000,0.000027
1963,0.000000,0.000029
1964,0.000000,0.000032
1965,0.000000,0.000028
1966,0.000000,0.000033
1967,0.000000,0.000027
1968,0.000000,0.000025
1969,0.000000,0.000038
1970,0.000000,0.000047
1971,0.000000,0.000040
1972,0.000000,0.000033
1973,0.000000,0.000027
1974,0.000000,0.000028
1975,0.000000,0.000031
1976,0.000000,0.000024
1977,0.000000,0.000022
1978,0.000000,0.000023
1979,0.000000,0.000017
1980,0.000000,0.000010
1981,0.000000,0.000009
1982,0.000000,0.000014
1983,0.000000,0.000012
1984,0.000000,0.000009
1985,0.000000,0.000007
1986,0.000000,0.000012
1987,0.000000,0.000009
1988,0.000000,0.000011
1989,0.000000,0.000007
1990,0.000000,0.000006
1991,0.000000,0.000010
1992,0.000000,0.000007
1993,0.000000,0.000007
1994,0.000000,0.000006
1995,0.000000,0.000007
1996,0.000000,0.000005
1997,0.000000,0.000006
1998,0.000000,0.000006
1999,0.000000,0.000005
2000,0.000000,0.000006
2001,0.000000,0.000003
2002,0.000000,0.000003
2003,0.000000,0.000006
2004,0.000000,0.000003
2005,0.000000,0.000003
2006,0.000000,0.000003
2007,0.000000,0.000003
2008,0.000000,0.000002
2009,0.000000,0.000002
2010,0.000000,0.000002
2011,0.000000,0.000002
2012,0.000000,0.000000
2013,0.000000,0.000000
