year,Jacklyn
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,5
1914,0
1915,0
1916,0
1917,5
1918,8
1919,9
1920,0
1921,16
1922,8
1923,13
1924,18
1925,20
1926,24
1927,33
1928,28
1929,36
1930,45
1931,49
1932,35
1933,56
1934,71
1935,54
1936,93
1937,104
1938,77
1939,62
1940,82
1941,65
1942,110
1943,104
1944,117
1945,117
1946,145
1947,158
1948,145
1949,150
1950,158
1951,174
1952,170
1953,191
1954,174
1955,157
1956,164
1957,142
1958,127
1959,105
1960,91
1961,166
1962,101
1963,79
1964,121
1965,92
1966,93
1967,70
1968,69
1969,57
1970,62
1971,52
1972,40
1973,41
1974,49
1975,44
1976,42
1977,139
1978,227
1979,223
1980,233
1981,337
1982,381
1983,422
1984,395
1985,392
1986,447
1987,488
1988,481
1989,485
1990,440
1991,486
1992,440
1993,435
1994,396
1995,350
1996,380
1997,303
1998,277
1999,300
2000,282
2001,267
2002,188
2003,233
2004,216
2005,208
2006,199
2007,220
2008,156
2009,172
2010,155
2011,140
2012,115
