year,Jacklin
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,5
1925,0
1926,0
1927,6
1928,0
1929,5
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,7
1938,9
1939,8
1940,6
1941,8
1942,5
1943,8
1944,7
1945,11
1946,11
1947,9
1948,10
1949,16
1950,14
1951,12
1952,10
1953,17
1954,15
1955,10
1956,23
1957,11
1958,10
1959,10
1960,11
1961,5
1962,8
1963,8
1964,17
1965,7
1966,13
1967,5
1968,8
1969,8
1970,13
1971,9
1972,11
1973,7
1974,5
1975,6
1976,8
1977,5
1978,5
1979,19
1980,8
1981,9
1982,10
1983,20
1984,19
1985,9
1986,11
1987,22
1988,25
1989,8
1990,15
1991,18
1992,14
1993,21
1994,13
1995,15
1996,10
1997,10
1998,10
1999,19
2000,17
2001,19
2002,12
2003,7
2004,15
2005,11
2006,10
2007,19
2008,15
2009,12
2010,11
2011,7
2012,0
