year,Jacklynn
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,8
1938,6
1939,6
1940,0
1941,0
1942,5
1943,11
1944,10
1945,11
1946,16
1947,23
1948,17
1949,18
1950,19
1951,22
1952,20
1953,11
1954,16
1955,14
1956,27
1957,12
1958,9
1959,9
1960,14
1961,15
1962,12
1963,7
1964,12
1965,8
1966,6
1967,7
1968,7
1969,7
1970,5
1971,8
1972,0
1973,8
1974,8
1975,7
1976,9
1977,19
1978,21
1979,14
1980,22
1981,22
1982,18
1983,29
1984,31
1985,23
1986,33
1987,42
1988,47
1989,57
1990,47
1991,52
1992,46
1993,30
1994,49
1995,37
1996,48
1997,41
1998,49
1999,45
2000,39
2001,52
2002,39
2003,49
2004,59
2005,42
2006,43
2007,55
2008,58
2009,46
2010,64
2011,55
2012,44
