year,Jannet
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,7
1922,0
1923,0
1924,0
1925,0
1926,5
1927,0
1928,0
1929,9
1930,6
1931,0
1932,0
1933,6
1934,10
1935,8
1936,5
1937,13
1938,10
1939,5
1940,14
1941,7
1942,6
1943,16
1944,8
1945,7
1946,16
1947,17
1948,11
1949,15
1950,16
1951,13
1952,24
1953,14
1954,23
1955,24
1956,18
1957,13
1958,18
1959,21
1960,25
1961,15
1962,11
1963,16
1964,22
1965,13
1966,14
1967,17
1968,33
1969,16
1970,14
1971,18
1972,12
1973,23
1974,17
1975,13
1976,20
1977,22
1978,18
1979,26
1980,26
1981,40
1982,36
1983,26
1984,26
1985,33
1986,32
1987,45
1988,38
1989,63
1990,84
1991,73
1992,74
1993,64
1994,37
1995,63
1996,55
1997,34
1998,35
1999,62
2000,66
2001,55
2002,49
2003,40
2004,50
2005,53
2006,43
2007,43
2008,40
2009,31
2010,26
2011,18
2012,24
