year,Joleen
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,5
1926,8
1927,7
1928,5
1929,10
1930,9
1931,14
1932,11
1933,14
1934,28
1935,23
1936,28
1937,33
1938,29
1939,42
1940,38
1941,28
1942,43
1943,36
1944,31
1945,34
1946,57
1947,41
1948,66
1949,76
1950,82
1951,100
1952,93
1953,108
1954,124
1955,109
1956,128
1957,117
1958,130
1959,122
1960,124
1961,132
1962,134
1963,112
1964,94
1965,102
1966,105
1967,88
1968,91
1969,115
1970,120
1971,89
1972,61
1973,76
1974,187
1975,161
1976,173
1977,182
1978,136
1979,116
1980,145
1981,131
1982,135
1983,127
1984,97
1985,86
1986,79
1987,67
1988,62
1989,59
1990,46
1991,60
1992,63
1993,45
1994,50
1995,49
1996,41
1997,33
1998,35
1999,21
2000,38
2001,56
2002,50
2003,51
2004,43
2005,57
2006,43
2007,61
2008,41
2009,42
2010,46
2011,45
2012,30
