year,Joesphine
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,6
1909,0
1910,8
1911,6
1912,10
1913,5
1914,5
1915,9
1916,15
1917,10
1918,12
1919,12
1920,11
1921,6
1922,23
1923,21
1924,17
1925,16
1926,13
1927,9
1928,12
1929,10
1930,19
1931,16
1932,23
1933,14
1934,8
1935,8
1936,7
1937,10
1938,10
1939,9
1940,8
1941,14
1942,12
1943,8
1944,11
1945,7
1946,7
1947,8
1948,8
1949,9
1950,9
1951,13
1952,6
1953,12
1954,11
1955,13
1956,0
1957,11
1958,10
1959,15
1960,13
1961,7
1962,6
1963,0
1964,0
1965,10
1966,7
1967,7
1968,6
1969,0
1970,0
1971,5
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,5
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,5
2009,0
2010,0
2011,0
2012,0
