year,Jeannett
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,5
1901,0
1902,0
1903,0
1904,0
1905,0
1906,7
1907,0
1908,0
1909,7
1910,0
1911,0
1912,0
1913,5
1914,0
1915,8
1916,9
1917,10
1918,11
1919,11
1920,8
1921,9
1922,12
1923,9
1924,8
1925,6
1926,5
1927,5
1928,7
1929,0
1930,5
1931,0
1932,8
1933,8
1934,11
1935,8
1936,10
1937,9
1938,0
1939,7
1940,15
1941,8
1942,12
1943,9
1944,8
1945,17
1946,6
1947,8
1948,10
1949,11
1950,10
1951,10
1952,7
1953,0
1954,9
1955,5
1956,7
1957,13
1958,7
1959,8
1960,15
1961,11
1962,15
1963,12
1964,7
1965,6
1966,8
1967,12
1968,12
1969,15
1970,8
1971,15
1972,10
1973,6
1974,15
1975,13
1976,9
1977,6
1978,10
1979,8
1980,9
1981,0
1982,0
1983,0
1984,6
1985,7
1986,6
1987,9
1988,5
1989,9
1990,14
1991,5
1992,0
1993,6
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
