year,Jeromy
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
1956,0
1957,0
1958,0
1959,0
1960,0
1961,0
1962,0
1963,0
1964,0
1965,0
1966,0
1967,6
1968,7
1969,43
1970,99
1971,159
1972,181
1973,174
1974,214
1975,220
1976,313
1977,264
1978,257
1979,229
1980,238
1981,171
1982,197
1983,140
1984,116
1985,129
1986,148
1987,117
1988,129
1989,120
1990,115
1991,125
1992,80
1993,106
1994,89
1995,60
1996,45
1997,61
1998,33
1999,51
2000,40
2001,31
2002,31
2003,33
2004,26
2005,21
2006,14
2007,25
2008,22
2009,10
2010,10
2011,13
2012,17
