year,Joycelyn
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,7
1917,0
1918,11
1919,8
1920,12
1921,14
1922,17
1923,19
1924,25
1925,33
1926,42
1927,56
1928,52
1929,56
1930,68
1931,79
1932,59
1933,76
1934,71
1935,91
1936,78
1937,84
1938,75
1939,68
1940,67
1941,86
1942,78
1943,66
1944,50
1945,69
1946,77
1947,81
1948,79
1949,83
1950,89
1951,99
1952,105
1953,108
1954,109
1955,155
1956,148
1957,126
1958,92
1959,98
1960,79
1961,106
1962,92
1963,73
1964,89
1965,100
1966,91
1967,76
1968,97
1969,92
1970,74
1971,73
1972,57
1973,39
1974,51
1975,58
1976,58
1977,59
1978,54
1979,52
1980,58
1981,53
1982,58
1983,69
1984,79
1985,61
1986,62
1987,52
1988,42
1989,80
1990,56
1991,83
1992,75
1993,80
1994,75
1995,74
1996,56
1997,62
1998,52
1999,51
2000,57
2001,41
2002,48
2003,46
2004,42
2005,52
2006,76
2007,49
2008,46
2009,34
2010,34
2011,27
2012,35
