year,Jannine
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,7
1947,10
1948,0
1949,0
1950,12
1951,5
1952,17
1953,13
1954,8
1955,14
1956,17
1957,14
1958,8
1959,16
1960,18
1961,22
1962,24
1963,23
1964,30
1965,21
1966,22
1967,21
1968,21
1969,17
1970,25
1971,26
1972,18
1973,21
1974,20
1975,15
1976,15
1977,16
1978,14
1979,12
1980,10
1981,9
1982,11
1983,11
1984,0
1985,7
1986,0
1987,6
1988,6
1989,5
1990,8
1991,10
1992,8
1993,6
1994,0
1995,8
1996,0
1997,5
1998,5
1999,0
2000,0
2001,7
2002,0
2003,7
2004,0
2005,6
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
