year,Jaymi
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
1956,0
1957,0
1958,5
1959,11
1960,0
1961,5
1962,11
1963,11
1964,5
1965,11
1966,8
1967,9
1968,9
1969,12
1970,18
1971,21
1972,15
1973,17
1974,12
1975,21
1976,32
1977,39
1978,28
1979,37
1980,27
1981,23
1982,34
1983,33
1984,32
1985,47
1986,41
1987,33
1988,34
1989,44
1990,45
1991,46
1992,45
1993,39
1994,29
1995,26
1996,34
1997,27
1998,22
1999,22
2000,22
2001,20
2002,16
2003,21
2004,20
2005,25
2006,29
2007,16
2008,13
2009,19
2010,17
2011,19
2012,14
