year,Jeanie
1880,0
1881,0
1882,6
1883,7
1884,10
1885,6
1886,10
1887,12
1888,8
1889,10
1890,9
1891,12
1892,11
1893,10
1894,12
1895,5
1896,15
1897,5
1898,9
1899,6
1900,7
1901,10
1902,6
1903,11
1904,7
1905,6
1906,9
1907,9
1908,11
1909,7
1910,14
1911,15
1912,21
1913,15
1914,22
1915,27
1916,31
1917,25
1918,26
1919,37
1920,38
1921,32
1922,51
1923,72
1924,57
1925,74
1926,75
1927,92
1928,87
1929,78
1930,98
1931,87
1932,93
1933,131
1934,122
1935,147
1936,125
1937,150
1938,137
1939,156
1940,245
1941,275
1942,251
1943,262
1944,289
1945,274
1946,367
1947,424
1948,391
1949,426
1950,364
1951,408
1952,414
1953,459
1954,406
1955,401
1956,453
1957,499
1958,462
1959,417
1960,395
1961,360
1962,357
1963,318
1964,276
1965,222
1966,212
1967,217
1968,224
1969,249
1970,270
1971,272
1972,236
1973,224
1974,235
1975,220
1976,198
1977,207
1978,177
1979,163
1980,204
1981,175
1982,172
1983,119
1984,126
1985,114
1986,95
1987,95
1988,79
1989,82
1990,85
1991,67
1992,55
1993,50
1994,43
1995,39
1996,36
1997,40
1998,36
1999,38
2000,33
2001,32
2002,30
2003,36
2004,28
2005,25
2006,26
2007,29
2008,16
2009,13
2010,18
2011,11
2012,16
