year,Jackelyn
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,7
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,6
1951,7
1952,0
1953,7
1954,0
1955,8
1956,5
1957,6
1958,6
1959,0
1960,0
1961,6
1962,0
1963,0
1964,0
1965,0
1966,0
1967,6
1968,7
1969,12
1970,13
1971,8
1972,6
1973,18
1974,12
1975,16
1976,13
1977,16
1978,25
1979,36
1980,45
1981,52
1982,68
1983,66
1984,61
1985,59
1986,50
1987,67
1988,58
1989,82
1990,62
1991,70
1992,92
1993,66
1994,70
1995,82
1996,102
1997,116
1998,98
1999,118
2000,193
2001,145
2002,122
2003,131
2004,87
2005,127
2006,144
2007,151
2008,153
2009,160
2010,128
2011,120
2012,81
