year,Jefrey
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,5
1951,7
1952,9
1953,8
1954,7
1955,7
1956,6
1957,7
1958,12
1959,15
1960,13
1961,14
1962,18
1963,12
1964,12
1965,19
1966,14
1967,20
1968,13
1969,20
1970,17
1971,15
1972,14
1973,16
1974,10
1975,16
1976,11
1977,15
1978,7
1979,11
1980,12
1981,12
1982,14
1983,11
1984,15
1985,16
1986,16
1987,15
1988,16
1989,15
1990,13
1991,9
1992,14
1993,12
1994,15
1995,11
1996,7
1997,18
1998,17
1999,13
2000,13
2001,6
2002,10
2003,11
2004,6
2005,12
2006,12
2007,10
2008,13
2009,13
2010,5
2011,5
2012,0
