year,Jacinto (F),Jacinto (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000000
1883,0.000000,0.000000
1884,0.000000,0.000000
1885,0.000000,0.000000
1886,0.000000,0.000000
1887,0.000000,0.000000
1888,0.000000,0.000000
1889,0.000000,0.000000
1890,0.000000,0.000000
1891,0.000000,0.000000
1892,0.000000,0.000000
1893,0.000000,0.000000
1894,0.000000,0.000000
1895,0.000000,0.000000
1896,0.000000,0.000000
1897,0.000000,0.000000
1898,0.000000,0.000000
1899,0.000000,0.000000
1900,0.000000,0.000000
1901,0.000000,0.000000
1902,0.000000,0.000000
1903,0.000000,0.000000
1904,0.000000,0.000000
1905,0.000000,0.000000
1906,0.000000,0.000000
1907,0.000000,0.000000
1908,0.000000,0.000000
1909,0.000000,0.000012
1910,0.000000,0.000010
1911,0.000000,0.000000
1912,0.000000,0.000006
1913,0.000000,0.000000
1914,0.000000,0.000005
1915,0.000000,0.000003
1916,0.000000,0.000005
1917,0.000000,0.000004
1918,0.000000,0.000005
1919,0.000000,0.000006
1920,0.000000,0.000011
1921,0.000000,0.000006
1922,0.000000,0.000007
1923,0.000000,0.000010
1924,0.000000,0.000008
1925,0.000000,0.000013
1926,0.000000,0.000009
1927,0.000000,0.000008
1928,0.000000,0.000010
1929,0.000000,0.000009
1930,0.000000,0.000008
1931,0.000000,0.000010
1932,0.000000,0.000009
1933,0.000000,0.000007
1934,0.000000,0.000009
1935,0.000000,0.000011
1936,0.000000,0.000008
1937,0.000000,0.000009
1938,0.000000,0.000006
1939,0.000000,0.000008
1940,0.000000,0.000011
1941,0.000000,0.000005
1942,0.000000,0.000008
1943,0.000000,0.000010
1944,0.000000,0.000012
1945,0.000000,0.000006
1946,0.000000,0.000009
1947,0.000000,0.000004
1948,0.000000,0.000008
1949,0.000000,0.000007
1950,0.000000,0.000009
1951,0.000000,0.000005
1952,0.000000,0.000006
1953,0.000000,0.000009
1954,0.000000,0.000004
1955,0.000000,0.000006
1956,0.000000,0.000005
1957,0.000000,0.000006
1958,0.000000,0.000005
1959,0.000000,0.000006
1960,0.000000,0.000005
1961,0.000000,0.000007
1962,0.000000,0.000007
1963,0.000000,0.000006
1964,0.000000,0.000008
1965,0.000000,0.000008
1966,0.000000,0.000007
1967,0.000000,0.000008
1968,0.000000,0.000011
1969,0.000000,0.000010
1970,0.000000,0.000009
1971,0.000000,0.000010
1972,0.000000,0.000012
1973,0.000000,0.000010
1974,0.000000,0.000010
1975,0.000000,0.000009
1976,0.000000,0.000013
1977,0.000000,0.000010
1978,0.000000,0.000008
1979,0.000000,0.000008
1980,0.000000,0.000009
1981,0.000000,0.000010
1982,0.000000,0.000009
1983,0.000000,0.000010
1984,0.000000,0.000012
1985,0.000000,0.000011
1986,0.000000,0.000008
1987,0.000000,0.000009
1988,0.000000,0.000009
1989,0.000000,0.000011
1990,0.000000,0.000011
1991,0.000000,0.000009
1992,0.000000,0.000009
1993,0.000000,0.000011
1994,0.000000,0.000010
1995,0.000000,0.000008
1996,0.000000,0.000009
1997,0.000000,0.000009
1998,0.000000,0.000009
1999,0.000000,0.000008
2000,0.000000,0.000010
2001,0.000000,0.000010
2002,0.000000,0.000009
2003,0.000000,0.000008
2004,0.000000,0.000007
2005,0.000000,0.000009
2006,0.000000,0.000009
2007,0.000000,0.000007
2008,0.000000,0.000006
2009,0.000000,0.000007
2010,0.000000,0.000006
2011,0.000000,0.000005
2012,0.000000,0.000006
