year,Jessamine
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,7
1890,0
1891,8
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,5
1899,0
1900,5
1901,0
1902,0
1903,5
1904,6
1905,0
1906,0
1907,6
1908,6
1909,5
1910,0
1911,7
1912,8
1913,9
1914,13
1915,16
1916,12
1917,11
1918,14
1919,10
1920,13
1921,14
1922,12
1923,8
1924,7
1925,0
1926,6
1927,9
1928,8
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,6
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
1956,0
1957,0
1958,0
1959,0
1960,0
1961,0
1962,0
1963,0
1964,0
1965,0
1966,0
1967,0
1968,0
1969,0
1970,0
1971,0
1972,0
1973,0
1974,5
1975,5
1976,9
1977,10
1978,8
1979,12
1980,13
1981,14
1982,11
1983,7
1984,6
1985,8
1986,7
1987,8
1988,11
1989,12
1990,11
1991,10
1992,8
1993,11
1994,11
1995,11
1996,13
1997,17
1998,13
1999,8
2000,10
2001,13
2002,13
2003,12
2004,13
2005,9
2006,12
2007,9
2008,0
2009,6
2010,6
2011,8
2012,10
