year,Jayson (F),Jayson (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000000
1883,0.000000,0.000000
1884,0.000000,0.000000
1885,0.000000,0.000000
1886,0.000000,0.000000
1887,0.000000,0.000000
1888,0.000000,0.000000
1889,0.000000,0.000000
1890,0.000000,0.000000
1891,0.000000,0.000000
1892,0.000000,0.000000
1893,0.000000,0.000000
1894,0.000000,0.000000
1895,0.000000,0.000000
1896,0.000000,0.000000
1897,0.000000,0.000000
1898,0.000000,0.000000
1899,0.000000,0.000000
1900,0.000000,0.000000
1901,0.000000,0.000000
1902,0.000000,0.000000
1903,0.000000,0.000000
1904,0.000000,0.000000
1905,0.000000,0.000000
1906,0.000000,0.000000
1907,0.000000,0.000000
1908,0.000000,0.000000
1909,0.000000,0.000000
1910,0.000000,0.000000
1911,0.000000,0.000000
1912,0.000000,0.000000
1913,0.000000,0.000000
1914,0.000000,0.000000
1915,0.000000,0.000000
1916,0.000000,0.000000
1917,0.000000,0.000000
1918,0.000000,0.000000
1919,0.000000,0.000000
1920,0.000000,0.000000
1921,0.000000,0.000000
1922,0.000000,0.000002
1923,0.000000,0.000000
1924,0.000000,0.000000
1925,0.000000,0.000000
1926,0.000000,0.000000
1927,0.000000,0.000000
1928,0.000000,0.000000
1929,0.000000,0.000000
1930,0.000000,0.000000
1931,0.000000,0.000000
1932,0.000000,0.000000
1933,0.000000,0.000000
1934,0.000000,0.000000
1935,0.000000,0.000000
1936,0.000000,0.000000
1937,0.000000,0.000002
1938,0.000000,0.000003
1939,0.000000,0.000002
1940,0.000000,0.000003
1941,0.000000,0.000002
1942,0.000000,0.000002
1943,0.000000,0.000002
1944,0.000000,0.000003
1945,0.000000,0.000002
1946,0.000000,0.000002
1947,0.000000,0.000003
1948,0.000000,0.000003
1949,0.000000,0.000005
1950,0.000000,0.000005
1951,0.000000,0.000006
1952,0.000000,0.000004
1953,0.000000,0.000006
1954,0.000000,0.000005
1955,0.000000,0.000005
1956,0.000000,0.000009
1957,0.000000,0.000011
1958,0.000000,0.000012
1959,0.000000,0.000013
1960,0.000000,0.000012
1961,0.000000,0.000011
1962,0.000000,0.000015
1963,0.000000,0.000014
1964,0.000000,0.000015
1965,0.000000,0.000025
1966,0.000000,0.000029
1967,0.000000,0.000034
1968,0.000000,0.000040
1969,0.000001,0.000071
1970,0.000000,0.000112
1971,0.000001,0.000126
1972,0.000000,0.000147
1973,0.000000,0.000190
1974,0.000000,0.000206
1975,0.000002,0.000204
1976,0.000000,0.000201
1977,0.000000,0.000204
1978,0.000000,0.000189
1979,0.000000,0.000214
1980,0.000001,0.000176
1981,0.000000,0.000159
1982,0.000001,0.000166
1983,0.000000,0.000145
1984,0.000000,0.000137
1985,0.000001,0.000145
1986,0.000000,0.000130
1987,0.000000,0.000118
1988,0.000000,0.000108
1989,0.000000,0.000105
1990,0.000000,0.000097
1991,0.000000,0.000101
1992,0.000000,0.000107
1993,0.000000,0.000099
1994,0.000000,0.000112
1995,0.000000,0.000122
1996,0.000000,0.000133
1997,0.000000,0.000154
1998,0.000000,0.000197
1999,0.000000,0.000195
2000,0.000000,0.000188
2001,0.000000,0.000203
2002,0.000000,0.000223
2003,0.000000,0.000235
2004,0.000000,0.000252
2005,0.000000,0.000240
2006,0.000000,0.000218
2007,0.000000,0.000224
2008,0.000000,0.000245
2009,0.000000,0.000238
2010,0.000000,0.000253
2011,0.000000,0.000233
2012,0.000000,0.000221
2013,0.000000,0.000224
2014,0.000000,0.000214
2015,0.000000,0.000206
2016,0.000000,0.000174
2017,0.000000,0.000177
2018,0.000001,0.000177
2019,0.000000,0.000160
2020,0.000000,0.000162
