year,Jairo
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,5
1951,7
1952,0
1953,0
1954,0
1955,0
1956,0
1957,0
1958,0
1959,0
1960,0
1961,0
1962,6
1963,0
1964,0
1965,0
1966,0
1967,5
1968,0
1969,9
1970,10
1971,12
1972,9
1973,20
1974,23
1975,23
1976,20
1977,16
1978,24
1979,23
1980,46
1981,79
1982,73
1983,66
1984,71
1985,211
1986,161
1987,129
1988,144
1989,154
1990,223
1991,224
1992,209
1993,213
1994,242
1995,243
1996,231
1997,223
1998,220
1999,224
2000,271
2001,307
2002,316
2003,364
2004,350
2005,425
2006,446
2007,441
2008,472
2009,383
2010,333
2011,304
2012,298
