year,Josefa
1880,0
1881,5
1882,10
1883,6
1884,9
1885,11
1886,8
1887,11
1888,8
1889,20
1890,23
1891,14
1892,19
1893,19
1894,17
1895,28
1896,21
1897,20
1898,20
1899,11
1900,19
1901,19
1902,17
1903,18
1904,21
1905,22
1906,30
1907,31
1908,25
1909,28
1910,35
1911,39
1912,46
1913,38
1914,42
1915,57
1916,40
1917,56
1918,63
1919,66
1920,66
1921,72
1922,81
1923,66
1924,79
1925,84
1926,71
1927,65
1928,75
1929,68
1930,63
1931,71
1932,58
1933,44
1934,55
1935,45
1936,38
1937,41
1938,48
1939,35
1940,45
1941,40
1942,34
1943,34
1944,31
1945,26
1946,40
1947,37
1948,48
1949,37
1950,39
1951,40
1952,33
1953,38
1954,45
1955,29
1956,32
1957,31
1958,30
1959,26
1960,29
1961,29
1962,24
1963,27
1964,38
1965,23
1966,29
1967,23
1968,25
1969,31
1970,30
1971,30
1972,27
1973,22
1974,20
1975,17
1976,21
1977,25
1978,13
1979,34
1980,18
1981,23
1982,21
1983,26
1984,18
1985,26
1986,12
1987,13
1988,16
1989,24
1990,19
1991,16
1992,11
1993,17
1994,17
1995,18
1996,16
1997,10
1998,13
1999,19
2000,10
2001,12
2002,14
2003,9
2004,9
2005,9
2006,6
2007,12
2008,16
2009,6
2010,9
2011,13
2012,11
