year,Johnney
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,7
1913,8
1914,0
1915,7
1916,5
1917,6
1918,10
1919,13
1920,12
1921,5
1922,12
1923,20
1924,10
1925,12
1926,20
1927,20
1928,15
1929,12
1930,14
1931,18
1932,14
1933,18
1934,7
1935,18
1936,16
1937,20
1938,15
1939,18
1940,18
1941,20
1942,19
1943,21
1944,27
1945,23
1946,12
1947,34
1948,22
1949,18
1950,31
1951,23
1952,17
1953,26
1954,24
1955,15
1956,16
1957,21
1958,23
1959,16
1960,17
1961,8
1962,18
1963,25
1964,18
1965,13
1966,16
1967,8
1968,18
1969,11
1970,9
1971,26
1972,10
1973,14
1974,9
1975,10
1976,12
1977,8
1978,5
1979,7
1980,10
1981,6
1982,5
1983,11
1984,0
1985,0
1986,11
1987,6
1988,0
1989,8
1990,8
1991,5
1992,0
1993,0
1994,5
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,7
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
