year,Joseluis
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,5
1952,0
1953,8
1954,0
1955,0
1956,0
1957,5
1958,8
1959,7
1960,9
1961,0
1962,9
1963,10
1964,8
1965,7
1966,7
1967,9
1968,14
1969,13
1970,14
1971,22
1972,19
1973,23
1974,25
1975,26
1976,34
1977,30
1978,33
1979,32
1980,41
1981,38
1982,62
1983,60
1984,50
1985,66
1986,76
1987,95
1988,87
1989,101
1990,109
1991,115
1992,87
1993,89
1994,87
1995,94
1996,95
1997,100
1998,110
1999,115
2000,142
2001,134
2002,124
2003,127
2004,134
2005,100
2006,125
2007,126
2008,109
2009,113
2010,76
2011,87
2012,97
