year,Janey
1880,0
1881,0
1882,0
1883,0
1884,5
1885,0
1886,9
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,5
1895,0
1896,0
1897,0
1898,8
1899,5
1900,7
1901,0
1902,0
1903,0
1904,0
1905,7
1906,5
1907,5
1908,0
1909,0
1910,5
1911,6
1912,10
1913,14
1914,19
1915,20
1916,16
1917,17
1918,14
1919,28
1920,22
1921,26
1922,18
1923,22
1924,17
1925,33
1926,26
1927,24
1928,30
1929,19
1930,14
1931,16
1932,22
1933,18
1934,33
1935,38
1936,37
1937,36
1938,43
1939,35
1940,42
1941,49
1942,46
1943,54
1944,55
1945,90
1946,97
1947,108
1948,95
1949,100
1950,86
1951,70
1952,98
1953,98
1954,83
1955,92
1956,100
1957,88
1958,60
1959,79
1960,62
1961,80
1962,69
1963,70
1964,63
1965,41
1966,49
1967,37
1968,41
1969,26
1970,27
1971,40
1972,42
1973,38
1974,27
1975,32
1976,45
1977,40
1978,41
1979,32
1980,34
1981,40
1982,41
1983,32
1984,25
1985,35
1986,30
1987,35
1988,59
1989,52
1990,58
1991,53
1992,40
1993,34
1994,53
1995,43
1996,38
1997,37
1998,38
1999,40
2000,43
2001,36
2002,47
2003,39
2004,39
2005,44
2006,48
2007,32
2008,57
2009,38
2010,33
2011,32
2012,32
