year,Joretta
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,33
1931,194
1932,82
1933,56
1934,37
1935,34
1936,26
1937,40
1938,34
1939,20
1940,29
1941,13
1942,21
1943,10
1944,14
1945,12
1946,21
1947,7
1948,12
1949,9
1950,20
1951,24
1952,20
1953,21
1954,25
1955,21
1956,21
1957,17
1958,16
1959,7
1960,11
1961,16
1962,7
1963,9
1964,16
1965,13
1966,8
1967,13
1968,6
1969,13
1970,9
1971,8
1972,8
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
