year,Jennell
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,5
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,7
1922,0
1923,0
1924,0
1925,0
1926,0
1927,7
1928,0
1929,0
1930,0
1931,6
1932,5
1933,0
1934,5
1935,13
1936,6
1937,6
1938,12
1939,12
1940,5
1941,9
1942,13
1943,9
1944,10
1945,9
1946,6
1947,22
1948,15
1949,9
1950,8
1951,7
1952,13
1953,18
1954,15
1955,11
1956,12
1957,17
1958,6
1959,11
1960,16
1961,11
1962,34
1963,15
1964,19
1965,22
1966,16
1967,18
1968,18
1969,18
1970,20
1971,23
1972,16
1973,23
1974,18
1975,20
1976,26
1977,36
1978,38
1979,54
1980,41
1981,44
1982,31
1983,31
1984,31
1985,26
1986,34
1987,25
1988,24
1989,25
1990,18
1991,30
1992,22
1993,13
1994,7
1995,9
1996,15
1997,10
1998,10
1999,7
2000,10
2001,10
2002,0
2003,0
2004,9
2005,0
2006,10
2007,8
2008,0
2009,6
2010,0
2011,0
2012,6
