year,Jerold (F),Jerold (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000000
1883,0.000000,0.000000
1884,0.000000,0.000000
1885,0.000000,0.000000
1886,0.000000,0.000000
1887,0.000000,0.000000
1888,0.000000,0.000000
1889,0.000000,0.000000
1890,0.000000,0.000000
1891,0.000000,0.000000
1892,0.000000,0.000000
1893,0.000000,0.000000
1894,0.000000,0.000000
1895,0.000000,0.000000
1896,0.000000,0.000000
1897,0.000000,0.000000
1898,0.000000,0.000000
1899,0.000000,0.000000
1900,0.000000,0.000000
1901,0.000000,0.000000
1902,0.000000,0.000000
1903,0.000000,0.000000
1904,0.000000,0.000000
1905,0.000000,0.000000
1906,0.000000,0.000000
1907,0.000000,0.000000
1908,0.000000,0.000000
1909,0.000000,0.000000
1910,0.000000,0.000000
1911,0.000000,0.000000
1912,0.000000,0.000006
1913,0.000000,0.000005
1914,0.000000,0.000012
1915,0.000000,0.000007
1916,0.000000,0.000011
1917,0.000000,0.000007
1918,0.000000,0.000009
1919,0.000000,0.000009
1920,0.000000,0.000009
1921,0.000000,0.000010
1922,0.000000,0.000010
1923,0.000000,0.000010
1924,0.000000,0.000013
1925,0.000000,0.000014
1926,0.000000,0.000019
1927,0.000000,0.000021
1928,0.000000,0.000031
1929,0.000000,0.000031
1930,0.000000,0.000034
1931,0.000000,0.000049
1932,0.000000,0.000041
1933,0.000000,0.000051
1934,0.000000,0.000068
1935,0.000000,0.000066
1936,0.000000,0.000057
1937,0.000000,0.000059
1938,0.000000,0.000059
1939,0.000000,0.000072
1940,0.000000,0.000079
1941,0.000000,0.000080
1942,0.000000,0.000083
1943,0.000000,0.000074
1944,0.000000,0.000067
1945,0.000000,0.000064
1946,0.000000,0.000049
1947,0.000000,0.000058
1948,0.000000,0.000047
1949,0.000000,0.000051
1950,0.000000,0.000049
1951,0.000000,0.000041
1952,0.000000,0.000035
1953,0.000000,0.000048
1954,0.000000,0.000042
1955,0.000000,0.000035
1956,0.000000,0.000033
1957,0.000000,0.000033
1958,0.000000,0.000027
1959,0.000000,0.000027
1960,0.000000,0.000031
1961,0.000000,0.000029
1962,0.000000,0.000030
1963,0.000000,0.000032
1964,0.000000,0.000027
1965,0.000000,0.000030
1966,0.000000,0.000032
1967,0.000000,0.000029
1968,0.000000,0.000030
1969,0.000000,0.000030
1970,0.000000,0.000028
1971,0.000000,0.000022
1972,0.000000,0.000021
1973,0.000000,0.000019
1974,0.000000,0.000020
1975,0.000000,0.000021
1976,0.000000,0.000012
1977,0.000000,0.000014
1978,0.000000,0.000009
1979,0.000000,0.000010
1980,0.000000,0.000009
1981,0.000000,0.000013
1982,0.000000,0.000011
1983,0.000000,0.000009
1984,0.000000,0.000010
1985,0.000000,0.000008
1986,0.000000,0.000008
1987,0.000000,0.000007
1988,0.000000,0.000010
1989,0.000000,0.000007
1990,0.000000,0.000008
1991,0.000000,0.000008
1992,0.000000,0.000007
1993,0.000000,0.000008
1994,0.000000,0.000005
1995,0.000000,0.000004
1996,0.000000,0.000005
1997,0.000000,0.000008
1998,0.000000,0.000005
1999,0.000000,0.000004
2000,0.000000,0.000004
2001,0.000000,0.000005
2002,0.000000,0.000003
2003,0.000000,0.000002
2004,0.000000,0.000002
2005,0.000000,0.000002
2006,0.000000,0.000002
2007,0.000000,0.000002
2008,0.000000,0.000003
2009,0.000000,0.000002
2010,0.000000,0.000002
2011,0.000000,0.000002
2012,0.000000,0.000003
2013,0.000000,0.000000
2014,0.000000,0.000003
2015,0.000000,0.000001
2016,0.000000,0.000002
2017,0.000000,0.000003
2018,0.000000,0.000001
2019,0.000000,0.000002
2020,0.000000,0.000000
