year,Jewell (F),Jewell (M)
1880,0.000040,0.000000
1881,0.000000,0.000000
1882,0.000023,0.000000
1883,0.000000,0.000037
1884,0.000025,0.000000
1885,0.000037,0.000000
1886,0.000059,0.000000
1887,0.000032,0.000000
1888,0.000090,0.000023
1889,0.000090,0.000024
1890,0.000086,0.000000
1891,0.000129,0.000021
1892,0.000147,0.000030
1893,0.000154,0.000018
1894,0.000183,0.000018
1895,0.000219,0.000031
1896,0.000213,0.000042
1897,0.000251,0.000037
1898,0.000359,0.000039
1899,0.000416,0.000032
1900,0.000393,0.000033
1901,0.000460,0.000040
1902,0.000520,0.000049
1903,0.000517,0.000050
1904,0.000501,0.000059
1905,0.000597,0.000045
1906,0.000595,0.000061
1907,0.000610,0.000058
1908,0.000589,0.000035
1909,0.000595,0.000047
1910,0.000613,0.000052
1911,0.000525,0.000062
1912,0.000462,0.000081
1913,0.000424,0.000058
1914,0.000402,0.000054
1915,0.000378,0.000056
1916,0.000361,0.000049
1917,0.000372,0.000053
1918,0.000379,0.000055
1919,0.000387,0.000052
1920,0.000395,0.000049
1921,0.000368,0.000050
1922,0.000362,0.000059
1923,0.000348,0.000060
1924,0.000348,0.000048
1925,0.000347,0.000054
1926,0.000313,0.000038
1927,0.000317,0.000045
1928,0.000288,0.000039
1929,0.000256,0.000042
1930,0.000242,0.000033
1931,0.000213,0.000044
1932,0.000221,0.000036
1933,0.000234,0.000038
1934,0.000204,0.000038
1935,0.000187,0.000028
1936,0.000157,0.000038
1937,0.000153,0.000027
1938,0.000155,0.000024
1939,0.000133,0.000030
1940,0.000134,0.000024
1941,0.000143,0.000027
1942,0.000142,0.000021
1943,0.000131,0.000024
1944,0.000114,0.000022
1945,0.000101,0.000022
1946,0.000094,0.000016
1947,0.000076,0.000013
1948,0.000080,0.000015
1949,0.000075,0.000013
1950,0.000063,0.000011
1951,0.000060,0.000011
1952,0.000047,0.000010
1953,0.000049,0.000011
1954,0.000038,0.000011
1955,0.000043,0.000012
1956,0.000039,0.000011
1957,0.000037,0.000010
1958,0.000031,0.000005
1959,0.000032,0.000007
1960,0.000034,0.000004
1961,0.000035,0.000007
1962,0.000031,0.000006
1963,0.000027,0.000006
1964,0.000030,0.000005
1965,0.000032,0.000004
1966,0.000021,0.000007
1967,0.000027,0.000006
1968,0.000019,0.000005
1969,0.000021,0.000006
1970,0.000020,0.000006
1971,0.000017,0.000004
1972,0.000019,0.000006
1973,0.000018,0.000006
1974,0.000017,0.000005
1975,0.000010,0.000006
1976,0.000015,0.000006
1977,0.000015,0.000006
1978,0.000015,0.000003
1979,0.000014,0.000003
1980,0.000014,0.000003
1981,0.000013,0.000004
1982,0.000015,0.000002
1983,0.000014,0.000005
1984,0.000011,0.000002
1985,0.000013,0.000003
1986,0.000010,0.000002
1987,0.000010,0.000004
1988,0.000011,0.000003
1989,0.000014,0.000003
1990,0.000011,0.000004
1991,0.000010,0.000004
1992,0.000012,0.000002
1993,0.000013,0.000004
1994,0.000013,0.000003
1995,0.000021,0.000004
1996,0.000018,0.000002
1997,0.000020,0.000002
1998,0.000023,0.000003
1999,0.000027,0.000003
2000,0.000021,0.000002
2001,0.000021,0.000000
2002,0.000019,0.000002
2003,0.000021,0.000001
2004,0.000018,0.000002
2005,0.000015,0.000003
2006,0.000016,0.000001
2007,0.000017,0.000003
2008,0.000014,0.000002
2009,0.000012,0.000001
2010,0.000012,0.000000
2011,0.000010,0.000000
2012,0.000012,0.000002
2013,0.000008,0.000002
