year,Josiah (F),Josiah (M)
1880,0.000000,0.000129
1881,0.000000,0.000125
1882,0.000000,0.000108
1883,0.000000,0.000065
1884,0.000000,0.000090
1885,0.000000,0.000071
1886,0.000000,0.000082
1887,0.000000,0.000061
1888,0.000000,0.000053
1889,0.000000,0.000048
1890,0.000000,0.000036
1891,0.000000,0.000031
1892,0.000000,0.000045
1893,0.000000,0.000055
1894,0.000000,0.000038
1895,0.000000,0.000020
1896,0.000000,0.000034
1897,0.000000,0.000017
1898,0.000000,0.000024
1899,0.000000,0.000024
1900,0.000000,0.000016
1901,0.000000,0.000014
1902,0.000000,0.000013
1903,0.000000,0.000034
1904,0.000000,0.000020
1905,0.000000,0.000012
1906,0.000000,0.000021
1907,0.000000,0.000021
1908,0.000000,0.000016
1909,0.000000,0.000014
1910,0.000000,0.000015
1911,0.000000,0.000014
1912,0.000000,0.000036
1913,0.000000,0.000017
1914,0.000000,0.000023
1915,0.000000,0.000020
1916,0.000000,0.000023
1917,0.000000,0.000019
1918,0.000000,0.000016
1919,0.000000,0.000022
1920,0.000000,0.000013
1921,0.000000,0.000015
1922,0.000000,0.000014
1923,0.000000,0.000010
1924,0.000000,0.000010
1925,0.000000,0.000013
1926,0.000000,0.000010
1927,0.000000,0.000011
1928,0.000000,0.000016
1929,0.000000,0.000008
1930,0.000000,0.000011
1931,0.000000,0.000010
1932,0.000000,0.000010
1933,0.000000,0.000012
1934,0.000000,0.000009
1935,0.000000,0.000009
1936,0.000000,0.000008
1937,0.000000,0.000012
1938,0.000000,0.000007
1939,0.000000,0.000010
1940,0.000000,0.000009
1941,0.000000,0.000005
1942,0.000000,0.000004
1943,0.000000,0.000005
1944,0.000000,0.000006
1945,0.000000,0.000005
1946,0.000000,0.000005
1947,0.000000,0.000005
1948,0.000000,0.000006
1949,0.000000,0.000006
1950,0.000000,0.000006
1951,0.000000,0.000005
1952,0.000000,0.000006
1953,0.000000,0.000004
1954,0.000000,0.000006
1955,0.000000,0.000004
1956,0.000000,0.000005
1957,0.000000,0.000003
1958,0.000000,0.000005
1959,0.000000,0.000006
1960,0.000000,0.000003
1961,0.000000,0.000007
1962,0.000000,0.000004
1963,0.000000,0.000004
1964,0.000000,0.000002
1965,0.000000,0.000004
1966,0.000000,0.000005
1967,0.000000,0.000004
1968,0.000000,0.000006
1969,0.000000,0.000008
1970,0.000000,0.000008
1971,0.000000,0.000008
1972,0.000000,0.000014
1973,0.000000,0.000014
1974,0.000000,0.000021
1975,0.000000,0.000028
1976,0.000000,0.000041
1977,0.000000,0.000049
1978,0.000000,0.000050
1979,0.000000,0.000065
1980,0.000000,0.000074
1981,0.000002,0.000082
1982,0.000000,0.000105
1983,0.000001,0.000117
1984,0.000003,0.000135
1985,0.000002,0.000139
1986,0.000000,0.000137
1987,0.000000,0.000139
1988,0.000000,0.000147
1989,0.000000,0.000154
1990,0.000000,0.000171
1991,0.000000,0.000189
1992,0.000001,0.000204
1993,0.000000,0.000236
1994,0.000003,0.000247
1995,0.000002,0.000278
1996,0.000002,0.000341
1997,0.000003,0.000381
1998,0.000003,0.000415
1999,0.000003,0.000472
2000,0.000003,0.000537
2001,0.000003,0.000598
2002,0.000004,0.000688
2003,0.000003,0.000706
2004,0.000004,0.000732
2005,0.000003,0.000848
2006,0.000005,0.000922
2007,0.000004,0.001057
2008,0.000005,0.001216
2009,0.000005,0.001313
2010,0.000003,0.001410
2011,0.000005,0.001441
2012,0.000005,0.001512
2013,0.000004,0.001731
2014,0.000003,0.001747
2015,0.000004,0.001804
2016,0.000004,0.001912
2017,0.000004,0.001972
2018,0.000005,0.001894
2019,0.000006,0.001966
2020,0.000005,0.001839
