year,Joeseph (F),Joeseph (M)
1880,0.000000,0.000030
1881,0.000000,0.000000
1882,0.000000,0.000027
1883,0.000000,0.000000
1884,0.000000,0.000025
1885,0.000000,0.000021
1886,0.000000,0.000000
1887,0.000000,0.000024
1888,0.000000,0.000030
1889,0.000000,0.000000
1890,0.000000,0.000030
1891,0.000000,0.000017
1892,0.000000,0.000000
1893,0.000000,0.000000
1894,0.000000,0.000000
1895,0.000000,0.000000
1896,0.000000,0.000000
1897,0.000000,0.000000
1898,0.000000,0.000000
1899,0.000000,0.000000
1900,0.000000,0.000011
1901,0.000000,0.000000
1902,0.000000,0.000016
1903,0.000000,0.000013
1904,0.000000,0.000000
1905,0.000000,0.000012
1906,0.000000,0.000000
1907,0.000000,0.000015
1908,0.000000,0.000000
1909,0.000000,0.000010
1910,0.000000,0.000010
1911,0.000000,0.000000
1912,0.000000,0.000012
1913,0.000000,0.000011
1914,0.000000,0.000014
1915,0.000000,0.000010
1916,0.000000,0.000013
1917,0.000000,0.000009
1918,0.000000,0.000013
1919,0.000000,0.000014
1920,0.000000,0.000014
1921,0.000000,0.000011
1922,0.000000,0.000010
1923,0.000000,0.000009
1924,0.000000,0.000010
1925,0.000000,0.000008
1926,0.000000,0.000011
1927,0.000000,0.000010
1928,0.000000,0.000010
1929,0.000000,0.000008
1930,0.000000,0.000009
1931,0.000000,0.000010
1932,0.000000,0.000008
1933,0.000000,0.000008
1934,0.000000,0.000005
1935,0.000000,0.000006
1936,0.000000,0.000006
1937,0.000000,0.000005
1938,0.000000,0.000006
1939,0.000000,0.000003
1940,0.000000,0.000006
1941,0.000000,0.000002
1942,0.000000,0.000003
1943,0.000000,0.000006
1944,0.000000,0.000004
1945,0.000000,0.000006
1946,0.000000,0.000003
1947,0.000000,0.000004
1948,0.000000,0.000005
1949,0.000000,0.000004
1950,0.000000,0.000005
1951,0.000000,0.000009
1952,0.000000,0.000008
1953,0.000000,0.000007
1954,0.000000,0.000008
1955,0.000000,0.000006
1956,0.000000,0.000005
1957,0.000000,0.000006
1958,0.000000,0.000007
1959,0.000000,0.000008
1960,0.000000,0.000007
1961,0.000000,0.000006
1962,0.000000,0.000007
1963,0.000000,0.000007
1964,0.000000,0.000006
1965,0.000000,0.000006
1966,0.000000,0.000005
1967,0.000000,0.000006
1968,0.000000,0.000004
1969,0.000000,0.000005
1970,0.000000,0.000005
1971,0.000000,0.000006
1972,0.000000,0.000004
1973,0.000000,0.000006
1974,0.000000,0.000007
1975,0.000000,0.000009
1976,0.000000,0.000006
1977,0.000000,0.000011
1978,0.000000,0.000006
1979,0.000000,0.000010
1980,0.000000,0.000008
1981,0.000000,0.000010
1982,0.000000,0.000011
1983,0.000000,0.000010
1984,0.000000,0.000010
1985,0.000000,0.000009
1986,0.000000,0.000009
1987,0.000000,0.000013
1988,0.000000,0.000009
1989,0.000000,0.000013
1990,0.000000,0.000010
1991,0.000000,0.000012
1992,0.000000,0.000011
1993,0.000000,0.000012
1994,0.000000,0.000012
1995,0.000000,0.000010
1996,0.000000,0.000010
1997,0.000000,0.000011
1998,0.000000,0.000015
1999,0.000000,0.000010
2000,0.000000,0.000009
2001,0.000000,0.000011
2002,0.000000,0.000011
2003,0.000000,0.000013
2004,0.000000,0.000007
2005,0.000000,0.000012
2006,0.000000,0.000009
2007,0.000000,0.000010
2008,0.000000,0.000011
2009,0.000000,0.000009
2010,0.000000,0.000008
2011,0.000000,0.000009
2012,0.000000,0.000009
