year,Jonetta
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,5
1932,0
1933,5
1934,6
1935,0
1936,0
1937,6
1938,0
1939,10
1940,5
1941,7
1942,10
1943,7
1944,9
1945,14
1946,5
1947,7
1948,14
1949,11
1950,10
1951,11
1952,14
1953,19
1954,13
1955,11
1956,10
1957,18
1958,15
1959,17
1960,18
1961,26
1962,21
1963,21
1964,14
1965,23
1966,11
1967,20
1968,22
1969,23
1970,11
1971,27
1972,21
1973,11
1974,12
1975,17
1976,24
1977,18
1978,18
1979,31
1980,15
1981,13
1982,22
1983,25
1984,16
1985,18
1986,11
1987,12
1988,10
1989,22
1990,15
1991,14
1992,9
1993,12
1994,6
1995,5
1996,5
1997,6
1998,0
1999,5
2000,5
2001,0
2002,7
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
