year,Jeraldine
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,7
1910,0
1911,0
1912,10
1913,0
1914,22
1915,14
1916,31
1917,40
1918,54
1919,54
1920,53
1921,55
1922,51
1923,76
1924,66
1925,70
1926,85
1927,99
1928,93
1929,68
1930,98
1931,89
1932,107
1933,71
1934,87
1935,86
1936,82
1937,83
1938,94
1939,158
1940,124
1941,127
1942,188
1943,174
1944,111
1945,101
1946,112
1947,102
1948,84
1949,103
1950,80
1951,74
1952,76
1953,68
1954,56
1955,39
1956,39
1957,50
1958,36
1959,29
1960,32
1961,27
1962,29
1963,29
1964,30
1965,17
1966,25
1967,24
1968,22
1969,18
1970,15
1971,21
1972,5
1973,6
1974,6
1975,0
1976,0
1977,0
1978,0
1979,8
1980,0
1981,0
1982,5
1983,0
1984,6
1985,5
1986,0
1987,0
1988,23
1989,12
1990,5
1991,8
1992,9
1993,9
1994,8
1995,6
1996,5
1997,9
1998,8
1999,6
2000,7
2001,0
2002,7
2003,21
2004,13
2005,11
2006,15
2007,13
2008,15
2009,11
2010,17
2011,19
2012,12
