year,Jodi (F),Jodi (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000000
1883,0.000000,0.000000
1884,0.000000,0.000000
1885,0.000000,0.000000
1886,0.000000,0.000000
1887,0.000000,0.000000
1888,0.000000,0.000000
1889,0.000000,0.000000
1890,0.000000,0.000000
1891,0.000000,0.000000
1892,0.000000,0.000000
1893,0.000000,0.000000
1894,0.000000,0.000000
1895,0.000000,0.000000
1896,0.000000,0.000000
1897,0.000000,0.000000
1898,0.000000,0.000000
1899,0.000000,0.000000
1900,0.000000,0.000000
1901,0.000000,0.000000
1902,0.000000,0.000000
1903,0.000000,0.000000
1904,0.000000,0.000000
1905,0.000000,0.000000
1906,0.000000,0.000000
1907,0.000000,0.000000
1908,0.000000,0.000000
1909,0.000000,0.000000
1910,0.000000,0.000000
1911,0.000000,0.000000
1912,0.000000,0.000000
1913,0.000000,0.000000
1914,0.000000,0.000000
1915,0.000000,0.000000
1916,0.000000,0.000000
1917,0.000000,0.000000
1918,0.000000,0.000000
1919,0.000000,0.000000
1920,0.000000,0.000000
1921,0.000000,0.000000
1922,0.000000,0.000000
1923,0.000000,0.000000
1924,0.000000,0.000000
1925,0.000000,0.000000
1926,0.000000,0.000000
1927,0.000000,0.000000
1928,0.000000,0.000000
1929,0.000000,0.000000
1930,0.000000,0.000000
1931,0.000000,0.000000
1932,0.000000,0.000000
1933,0.000000,0.000000
1934,0.000000,0.000000
1935,0.000000,0.000000
1936,0.000000,0.000000
1937,0.000000,0.000000
1938,0.000000,0.000000
1939,0.000000,0.000000
1940,0.000003,0.000000
1941,0.000004,0.000000
1942,0.000003,0.000000
1943,0.000002,0.000000
1944,0.000006,0.000000
1945,0.000004,0.000000
1946,0.000006,0.000000
1947,0.000010,0.000000
1948,0.000012,0.000000
1949,0.000015,0.000000
1950,0.000021,0.000000
1951,0.000023,0.000000
1952,0.000033,0.000000
1953,0.000057,0.000001
1954,0.000068,0.000001
1955,0.000093,0.000000
1956,0.000138,0.000000
1957,0.000215,0.000002
1958,0.000308,0.000002
1959,0.000336,0.000003
1960,0.000376,0.000003
1961,0.000446,0.000005
1962,0.000459,0.000004
1963,0.000480,0.000003
1964,0.000721,0.000006
1965,0.000842,0.000006
1966,0.000872,0.000008
1967,0.000991,0.000009
1968,0.001064,0.000010
1969,0.001112,0.000009
1970,0.001160,0.000012
1971,0.001114,0.000013
1972,0.001037,0.000008
1973,0.001002,0.000016
1974,0.001087,0.000009
1975,0.001028,0.000011
1976,0.000881,0.000011
1977,0.000859,0.000011
1978,0.000714,0.000008
1979,0.000594,0.000006
1980,0.000493,0.000007
1981,0.000457,0.000005
1982,0.000447,0.000005
1983,0.000413,0.000003
1984,0.000353,0.000003
1985,0.000304,0.000002
1986,0.000252,0.000003
1987,0.000219,0.000002
1988,0.000193,0.000001
1989,0.000160,0.000003
1990,0.000131,0.000002
1991,0.000111,0.000002
1992,0.000116,0.000002
1993,0.000102,0.000002
1994,0.000087,0.000002
1995,0.000088,0.000001
1996,0.000077,0.000002
1997,0.000071,0.000000
1998,0.000063,0.000002
1999,0.000060,0.000000
2000,0.000045,0.000000
2001,0.000043,0.000000
2002,0.000043,0.000004
2003,0.000035,0.000001
2004,0.000029,0.000002
2005,0.000029,0.000001
2006,0.000025,0.000003
2007,0.000024,0.000005
2008,0.000020,0.000004
2009,0.000018,0.000002
2010,0.000015,0.000002
2011,0.000019,0.000002
2012,0.000015,0.000004
