year,Jarrell
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,9
1914,0
1915,5
1916,6
1917,9
1918,8
1919,18
1920,18
1921,9
1922,8
1923,14
1924,17
1925,5
1926,17
1927,8
1928,9
1929,16
1930,16
1931,12
1932,12
1933,13
1934,18
1935,12
1936,17
1937,27
1938,29
1939,16
1940,23
1941,21
1942,32
1943,26
1944,16
1945,17
1946,27
1947,19
1948,20
1949,23
1950,20
1951,27
1952,24
1953,23
1954,17
1955,18
1956,17
1957,26
1958,24
1959,22
1960,14
1961,14
1962,18
1963,13
1964,27
1965,22
1966,14
1967,15
1968,14
1969,23
1970,19
1971,15
1972,16
1973,8
1974,23
1975,23
1976,24
1977,25
1978,31
1979,35
1980,32
1981,46
1982,48
1983,60
1984,89
1985,162
1986,117
1987,178
1988,162
1989,156
1990,115
1991,124
1992,129
1993,117
1994,64
1995,84
1996,44
1997,54
1998,68
1999,42
2000,71
2001,52
2002,45
2003,64
2004,77
2005,81
2006,74
2007,70
2008,55
2009,65
2010,57
2011,59
2012,46
