year,Joylene
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,6
1928,0
1929,0
1930,6
1931,5
1932,5
1933,7
1934,6
1935,0
1936,0
1937,0
1938,6
1939,9
1940,6
1941,7
1942,15
1943,7
1944,0
1945,10
1946,7
1947,9
1948,12
1949,7
1950,6
1951,15
1952,7
1953,10
1954,12
1955,8
1956,8
1957,11
1958,5
1959,8
1960,8
1961,6
1962,5
1963,8
1964,6
1965,6
1966,6
1967,0
1968,12
1969,9
1970,5
1971,0
1972,7
1973,5
1974,5
1975,10
1976,10
1977,5
1978,7
1979,7
1980,0
1981,6
1982,6
1983,5
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,5
2010,0
2011,0
2012,0
