year,Juventino
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,9
1915,0
1916,0
1917,7
1918,0
1919,7
1920,5
1921,6
1922,6
1923,9
1924,5
1925,5
1926,7
1927,8
1928,8
1929,15
1930,15
1931,9
1932,6
1933,5
1934,10
1935,7
1936,9
1937,10
1938,7
1939,7
1940,7
1941,10
1942,13
1943,8
1944,14
1945,5
1946,6
1947,17
1948,11
1949,13
1950,13
1951,9
1952,10
1953,10
1954,12
1955,16
1956,10
1957,11
1958,6
1959,14
1960,11
1961,0
1962,12
1963,15
1964,14
1965,14
1966,12
1967,9
1968,13
1969,21
1970,15
1971,24
1972,16
1973,25
1974,24
1975,16
1976,19
1977,19
1978,21
1979,17
1980,25
1981,25
1982,23
1983,25
1984,24
1985,25
1986,19
1987,17
1988,20
1989,22
1990,19
1991,30
1992,25
1993,29
1994,24
1995,17
1996,27
1997,29
1998,22
1999,23
2000,19
2001,28
2002,20
2003,25
2004,29
2005,21
2006,18
2007,15
2008,21
2009,16
2010,13
2011,13
2012,12
